gene_symbol	direction	rank_in_direction	rho
EGFR	sensitivity	1	-0.4303499333
RRAS2	sensitivity	2	-0.4050761178
AXL	sensitivity	3	-0.3794085788
PDCD1LG2	sensitivity	4	-0.3641128168
RRAS	sensitivity	5	-0.3336036435
CD274	sensitivity	6	-0.3188111361
STAT4	sensitivity	7	-0.3183666009
RAC2	sensitivity	8	-0.3078754735
HDAC7	sensitivity	9	-0.2989378894
ARHGEF28	sensitivity	10	-0.2973813516
IL7R	sensitivity	11	-0.2901441331
LASP1	sensitivity	12	-0.2792686524
PAX8	sensitivity	13	-0.272959528
MAP3K14	sensitivity	14	-0.2706587103
FSTL1	sensitivity	15	-0.2576291205
PDGFB	sensitivity	16	-0.2556793656
HMGA2	sensitivity	17	-0.2437602215
RPS6KA4	sensitivity	18	-0.2429812403
IKBKE	sensitivity	19	-0.2420491194
MECOM	sensitivity	20	-0.2374693624
MSI2	resistance	1	0.3802433446
CILK1	resistance	2	0.3269899027
PRCC	resistance	3	0.2910548501
AGK	resistance	4	0.2846143585
DOT1L	resistance	5	0.2739130065
MYB	resistance	6	0.2730633033
PPM1D	resistance	7	0.2577836848
NADK	resistance	8	0.2575340656
BCL9	resistance	9	0.2514776106
H3-3A	resistance	10	0.2488328484
INSR	resistance	11	0.2389087353
FOXN4	resistance	12	0.2314877855
TRIM27	resistance	13	0.2276555477
BCL2	resistance	14	0.2266503647
CACNA1D	resistance	15	0.2260645024
MDM4	resistance	16	0.2235029109
AGO1	resistance	17	0.2227786354
EWSR1	resistance	18	0.2202606541
ONECUT2	resistance	19	0.2194326629
BRAF	resistance	20	0.2169012118
