gene_symbol	direction	rank_in_direction	rho
HRAS	sensitivity	1	-0.1552738336
ERC1	sensitivity	2	-0.09572427191
FGF6	sensitivity	3	-0.0911803443
GNA11	sensitivity	4	-0.0848277485
PGR	sensitivity	5	-0.07867235031
AKT3	sensitivity	6	-0.07644275308
AURKA	sensitivity	7	-0.07440744946
VEGFB	sensitivity	8	-0.07184868198
MAFB	sensitivity	9	-0.0679184465
HSD3B1	sensitivity	10	-0.06707617951
FGF23	sensitivity	11	-0.06675862502
BTK	sensitivity	12	-0.06657177088
FOXN4	sensitivity	13	-0.06595023655
ABL2	sensitivity	14	-0.06575310081
ARAF	sensitivity	15	-0.06492886633
TYMS	sensitivity	16	-0.06263763809
PAX3	sensitivity	17	-0.06177209694
NUP98	sensitivity	18	-0.06156914477
RRAGC	sensitivity	19	-0.05968248802
DEK	sensitivity	20	-0.05834006791
VEGFA	resistance	1	0.1670597946
ETV4	resistance	2	0.1306576058
DNM2	resistance	3	0.1203535016
FGF8	resistance	4	0.1156942896
HMGA2	resistance	5	0.1101250089
HDAC1	resistance	6	0.1050479851
LCK	resistance	7	0.1038238831
ALDH1L2	resistance	8	0.1004218164
CRLF2	resistance	9	0.09920515725
BCR	resistance	10	0.09776317957
FGFR3	resistance	11	0.09528410072
JAK3	resistance	12	0.092880809
TRIB3	resistance	13	0.09266731057
PAX8	resistance	14	0.09189968788
RAC2	resistance	15	0.09095137103
FOLR1	resistance	16	0.08845592083
MLLT3	resistance	17	0.08685383098
IKBKE	resistance	18	0.08638322496
ETV5	resistance	19	0.08597338782
ETV1	resistance	20	0.08484601444
