gene_symbol	direction	rank_in_direction	rho
BUB1B	sensitivity	1	-0.3473833482
SET	sensitivity	2	-0.2960305408
USP1	sensitivity	3	-0.2856820085
CAD	sensitivity	4	-0.2808823443
HDAC2	sensitivity	5	-0.2770871096
AURKB	sensitivity	6	-0.2408316571
BIRC5	sensitivity	7	-0.2407153312
APEX1	sensitivity	8	-0.2400450336
DOT1L	sensitivity	9	-0.2392710188
NSD2	sensitivity	10	-0.2356571875
MKI67	sensitivity	11	-0.2325983447
UBTF	sensitivity	12	-0.222293943
XPO1	sensitivity	13	-0.2216283454
ARID3B	sensitivity	14	-0.2189825184
DNMT1	sensitivity	15	-0.2186345575
AGO1	sensitivity	16	-0.2164235516
BRD4	sensitivity	17	-0.2095035832
EWSR1	sensitivity	18	-0.2094421664
BRD3	sensitivity	19	-0.2034369427
RNASEH2A	sensitivity	20	-0.2026657751
SQSTM1	resistance	1	0.2566676408
ADHFE1	resistance	2	0.2516935133
CD74	resistance	3	0.220641993
STAT6	resistance	4	0.2140278885
NCSTN	resistance	5	0.2037903945
MET	resistance	6	0.1963841757
XBP1	resistance	7	0.196361602
LMNA	resistance	8	0.1926145653
LASP1	resistance	9	0.1904495203
RHEB	resistance	10	0.1901497574
NCOA4	resistance	11	0.1887821336
ARHGEF28	resistance	12	0.1825883696
PICALM	resistance	13	0.175985857
CLIP1	resistance	14	0.1687384678
ABCC3	resistance	15	0.168473684
MYBL1	resistance	16	0.1682617927
RRAS	resistance	17	0.1641604736
IRS2	resistance	18	0.1638629644
ERBB3	resistance	19	0.1583744957
MAPK3	resistance	20	0.1504856709
