gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.3078534604
NTRK1	sensitivity	2	-0.2548087226
MDM4	sensitivity	3	-0.2506593871
EWSR1	sensitivity	4	-0.243171631
FOXN4	sensitivity	5	-0.2350119299
APEX1	sensitivity	6	-0.2348602287
CHD4	sensitivity	7	-0.2295416514
UBTF	sensitivity	8	-0.2230951068
CAD	sensitivity	9	-0.2199957018
BRD4	sensitivity	10	-0.219710937
HDAC2	sensitivity	11	-0.2175852963
ADGRA2	sensitivity	12	-0.2144041361
STAT5B	sensitivity	13	-0.2109495914
AGO1	sensitivity	14	-0.2104447054
MSI1	sensitivity	15	-0.2046618707
DNMT1	sensitivity	16	-0.2038228521
PRCC	sensitivity	17	-0.202372296
DLL3	sensitivity	18	-0.2020360961
PPM1D	sensitivity	19	-0.2004554374
PTK7	sensitivity	20	-0.1983231136
ABCC3	resistance	1	0.3525244408
MET	resistance	2	0.2997114433
SQSTM1	resistance	3	0.2979390657
PPARG	resistance	4	0.2845197916
LASP1	resistance	5	0.2698189744
ARHGEF28	resistance	6	0.239496749
FOLR1	resistance	7	0.2118146224
LMNA	resistance	8	0.2082751743
KLF5	resistance	9	0.207262846
AXL	resistance	10	0.2059395546
NQO1	resistance	11	0.1975773093
RRAS	resistance	12	0.1932734226
EGFR	resistance	13	0.1863416333
RRAS2	resistance	14	0.1843350011
CRLF2	resistance	15	0.1823480785
GATA6	resistance	16	0.1806162025
PDGFB	resistance	17	0.1799385522
MECOM	resistance	18	0.1796806939
IQGAP1	resistance	19	0.1795294619
NT5C2	resistance	20	0.1787043274
