gene_symbol	direction	rank_in_direction	rho
GRB7	sensitivity	1	-0.3691586963
TACSTD2	sensitivity	2	-0.3659048059
KLF5	sensitivity	3	-0.3430401808
MST1R	sensitivity	4	-0.3052304044
ERBB2	sensitivity	5	-0.289417059
FGFR3	sensitivity	6	-0.2614465518
EGFR	sensitivity	7	-0.2517911805
ERBB3	sensitivity	8	-0.2412481914
PDGFB	sensitivity	9	-0.2285785231
FGFR2	sensitivity	10	-0.224021085
ALDH1A3	sensitivity	11	-0.2198467097
SYK	sensitivity	12	-0.2163434645
TNFSF13	sensitivity	13	-0.2034058298
VAV1	sensitivity	14	-0.2015755657
LYN	sensitivity	15	-0.196805254
MECOM	sensitivity	16	-0.1940119217
MYCL	sensitivity	17	-0.1935454525
FOLR1	sensitivity	18	-0.1881091872
STAT6	sensitivity	19	-0.1847436631
MAP3K21	sensitivity	20	-0.1817555118
DDR2	resistance	1	0.3672923968
GNB1	resistance	2	0.3530897975
PRKACA	resistance	3	0.3436041318
PLCG1	resistance	4	0.318325798
FGFR1	resistance	5	0.3120100721
RNASEH2A	resistance	6	0.2925899382
RRAGC	resistance	7	0.2884976641
SMYD3	resistance	8	0.2875433548
E2F3	resistance	9	0.28485514
CILK1	resistance	10	0.2828449323
GNA11	resistance	11	0.2817993065
AFF4	resistance	12	0.2764457741
FYN	resistance	13	0.2746822892
UBA1	resistance	14	0.2738960633
MAP2K2	resistance	15	0.2725560674
RAF1	resistance	16	0.267224818
RHEB	resistance	17	0.2661767349
CDH2	resistance	18	0.265390072
ABL1	resistance	19	0.2653890747
RHOA	resistance	20	0.2653433183
