gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.2780160402
HDAC2	sensitivity	2	-0.2598762122
TOP2A	sensitivity	3	-0.2596171365
USP1	sensitivity	4	-0.2594103657
UBTF	sensitivity	5	-0.2521314151
EWSR1	sensitivity	6	-0.2516655887
PRCC	sensitivity	7	-0.2397004701
XPO1	sensitivity	8	-0.2335386582
AGO1	sensitivity	9	-0.2246691675
DNMT1	sensitivity	10	-0.2221570736
BUB1B	sensitivity	11	-0.2212065678
BRD4	sensitivity	12	-0.2182772611
BRD2	sensitivity	13	-0.2133012338
FOXN4	sensitivity	14	-0.2107153413
NSD2	sensitivity	15	-0.2104416852
NTRK1	sensitivity	16	-0.2061433507
SOS1	sensitivity	17	-0.2047549874
RAF1	sensitivity	18	-0.2033213709
APEX1	sensitivity	19	-0.2024023122
MDM4	sensitivity	20	-0.199803968
ABCC3	resistance	1	0.2550658765
PPARG	resistance	2	0.2114690586
SQSTM1	resistance	3	0.1940266994
MET	resistance	4	0.1926816205
PDGFB	resistance	5	0.1814617327
KLF5	resistance	6	0.1793377574
ARHGEF28	resistance	7	0.1750696536
FOLR1	resistance	8	0.1728329362
GATA6	resistance	9	0.1690762533
LASP1	resistance	10	0.1608052642
MECOM	resistance	11	0.152302475
NQO1	resistance	12	0.152175633
MST1R	resistance	13	0.1496628691
EGFR	resistance	14	0.1425771879
LMNA	resistance	15	0.1403321089
ERBB3	resistance	16	0.1342554811
PAX8	resistance	17	0.1323987124
TNFSF13	resistance	18	0.1280572991
PIK3CB	resistance	19	0.1269758157
IQGAP1	resistance	20	0.1268735566
