gene_symbol	direction	rank_in_direction	rho
MYC	sensitivity	1	-0.1974800876
MYCL	sensitivity	2	-0.1854272107
PIK3C2B	sensitivity	3	-0.1817740377
MST1R	sensitivity	4	-0.1805269348
REL	sensitivity	5	-0.1801728419
SET	sensitivity	6	-0.1778380868
MYB	sensitivity	7	-0.1637010569
MTHFD2	sensitivity	8	-0.1571365979
SYK	sensitivity	9	-0.1543979058
FGFR3	sensitivity	10	-0.153286334
APEX1	sensitivity	11	-0.1410282591
LYN	sensitivity	12	-0.1407834468
ECSIT	sensitivity	13	-0.1377460627
KLF5	sensitivity	14	-0.132376528
GRB7	sensitivity	15	-0.131913211
EWSR1	sensitivity	16	-0.1297512607
MYCN	sensitivity	17	-0.1292629234
CDK8	sensitivity	18	-0.1276969742
BCR	sensitivity	19	-0.1228134799
ARID3B	sensitivity	20	-0.1226564541
IL6ST	resistance	1	0.2841667422
RHEB	resistance	2	0.2834425509
CDH2	resistance	3	0.2805340273
ABL2	resistance	4	0.2747522594
MYBL1	resistance	5	0.2626064612
ACVR1	resistance	6	0.2493113089
RRAGC	resistance	7	0.2483530403
WWTR1	resistance	8	0.2415453645
SQSTM1	resistance	9	0.2339630452
VEGFB	resistance	10	0.2333906146
AKT3	resistance	11	0.2333571689
PIK3CD	resistance	12	0.2228445354
NTRK3	resistance	13	0.2210121165
FSTL1	resistance	14	0.2208319922
JAZF1	resistance	15	0.2153269759
AXL	resistance	16	0.2115822206
TFE3	resistance	17	0.2099329764
FGFR1	resistance	18	0.2078317512
PICALM	resistance	19	0.2055766988
NCSTN	resistance	20	0.2055474027
