gene_symbol	direction	rank_in_direction	rho
RSPO2	sensitivity	1	-0.2055459193
SMYD3	sensitivity	2	-0.2002442343
ONECUT2	sensitivity	3	-0.1987687052
CACNA1D	sensitivity	4	-0.1864441529
AR	sensitivity	5	-0.1805186638
RUNX1T1	sensitivity	6	-0.1680556088
RSPO3	sensitivity	7	-0.1590553135
PGBD5	sensitivity	8	-0.1523971021
CRTC1	sensitivity	9	-0.1522718214
AKT2	sensitivity	10	-0.1522414503
H3-3A	sensitivity	11	-0.1520389763
RET	sensitivity	12	-0.1513876463
PIK3C2B	sensitivity	13	-0.1452295233
CXCR4	sensitivity	14	-0.1433022241
ELK4	sensitivity	15	-0.1414723655
WWP1	sensitivity	16	-0.1355082414
XIAP	sensitivity	17	-0.1327001804
POU2F2	sensitivity	18	-0.1303881806
GNAS	sensitivity	19	-0.1281837452
MN1	sensitivity	20	-0.1263462938
SGK1	resistance	1	0.1994077637
CSF3R	resistance	2	0.1940325653
TIGAR	resistance	3	0.1668626025
CLIP1	resistance	4	0.1615008384
ERC1	resistance	5	0.1613097536
LTK	resistance	6	0.1537422886
GSTO1	resistance	7	0.1491347401
CCND2	resistance	8	0.1428631086
MDM2	resistance	9	0.1304008352
IQGAP1	resistance	10	0.1299250214
HMGA1	resistance	11	0.1289885792
TYMS	resistance	12	0.1279217945
RIOK2	resistance	13	0.1275611377
MYO5A	resistance	14	0.1249504888
HSD3B1	resistance	15	0.1233864373
FLI1	resistance	16	0.1231804187
FGF23	resistance	17	0.1218840141
GREM1	resistance	18	0.1211528363
MAP3K13	resistance	19	0.1180878864
PIK3CD	resistance	20	0.1141042109
