gene_symbol	direction	rank_in_direction	rho
EWSR1	sensitivity	1	-0.2673051195
DOT1L	sensitivity	2	-0.243902278
CAD	sensitivity	3	-0.228926642
HDAC2	sensitivity	4	-0.2220364481
BUB1B	sensitivity	5	-0.2080806822
UBTF	sensitivity	6	-0.2067988955
DNMT1	sensitivity	7	-0.1956885131
CHD4	sensitivity	8	-0.1945497057
CDK8	sensitivity	9	-0.1917870756
TERT	sensitivity	10	-0.186826189
MKI67	sensitivity	11	-0.1855823463
NSD2	sensitivity	12	-0.1780902287
H3-3A	sensitivity	13	-0.1779361975
APEX1	sensitivity	14	-0.1771220758
USP1	sensitivity	15	-0.1742255227
MDM4	sensitivity	16	-0.1739350197
BRD2	sensitivity	17	-0.17334518
PRCC	sensitivity	18	-0.1716615254
BRD3	sensitivity	19	-0.1705071846
AURKB	sensitivity	20	-0.1675690527
SQSTM1	resistance	1	0.2074803632
ABCC3	resistance	2	0.1893427727
GATA6	resistance	3	0.1772609336
LASP1	resistance	4	0.1755455523
RRAS2	resistance	5	0.1737505577
LMNA	resistance	6	0.1666749027
AXL	resistance	7	0.1665403411
IQGAP1	resistance	8	0.1646813992
ERCC6	resistance	9	0.1625093734
BCL6	resistance	10	0.1619491696
RRAS	resistance	11	0.1583126767
CLIP1	resistance	12	0.154283614
NCOA4	resistance	13	0.1527278012
FOLR1	resistance	14	0.1525569746
IL6ST	resistance	15	0.1488235734
ZNF217	resistance	16	0.1433782813
MET	resistance	17	0.1409924176
PDCD1LG2	resistance	18	0.140292831
MGAM	resistance	19	0.1402142602
COL1A1	resistance	20	0.1374782554
