gene_symbol	direction	rank_in_direction	rho
AURKB	sensitivity	1	-0.1368436717
FGFR4	sensitivity	2	-0.1255640865
H3C2	sensitivity	3	-0.1231165736
DDX4	sensitivity	4	-0.1141405605
CRLF2	sensitivity	5	-0.1130929746
YAP1	sensitivity	6	-0.1095928304
CAD	sensitivity	7	-0.1088923546
FGFR1	sensitivity	8	-0.1088921696
HMGA2	sensitivity	9	-0.1068136842
HFE	sensitivity	10	-0.1020544819
FLT4	sensitivity	11	-0.1012892647
VAV1	sensitivity	12	-0.09952298094
IL6ST	sensitivity	13	-0.09558164853
FGF1	sensitivity	14	-0.09375277736
NRG1	sensitivity	15	-0.09354876391
GLI1	sensitivity	16	-0.09347971643
COL1A1	sensitivity	17	-0.09195678784
RRAS2	sensitivity	18	-0.09050495638
ETV4	sensitivity	19	-0.08822619786
HGF	sensitivity	20	-0.08564982428
MAP3K13	resistance	1	0.1745472554
GAB2	resistance	2	0.1721183471
CSF3R	resistance	3	0.1513810485
FYN	resistance	4	0.1479202927
STAT5A	resistance	5	0.1427118682
NTRK2	resistance	6	0.1357359775
LMO2	resistance	7	0.1353271492
KDR	resistance	8	0.1288954131
KIT	resistance	9	0.1286125683
AKT3	resistance	10	0.1231823577
TSHR	resistance	11	0.121435581
PAK1	resistance	12	0.1182929031
BRAF	resistance	13	0.118036654
JAZF1	resistance	14	0.1133518287
GNAQ	resistance	15	0.1123777122
GTF2I	resistance	16	0.1116312698
BTK	resistance	17	0.111302145
BAALC	resistance	18	0.1112197921
SOX10	resistance	19	0.1094419598
STAT5B	resistance	20	0.1092762657
