gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.1305434518
EML4	sensitivity	2	-0.0962959976
UBR5	sensitivity	3	-0.08664342791
ASCL1	sensitivity	4	-0.08627279379
RAC1	sensitivity	5	-0.08586910247
EIF4A2	sensitivity	6	-0.08551000756
ANKRD26	sensitivity	7	-0.08548414134
BRD4	sensitivity	8	-0.08468139314
PIK3CA	sensitivity	9	-0.08011414506
XBP1	sensitivity	10	-0.07738162419
BRD2	sensitivity	11	-0.07659785742
ETV1	sensitivity	12	-0.07479881174
CYP19A1	sensitivity	13	-0.07039342541
FGF6	sensitivity	14	-0.06998384223
MDM4	sensitivity	15	-0.06955558515
POU2F2	sensitivity	16	-0.0694971799
MN1	sensitivity	17	-0.06787282624
CRTC1	sensitivity	18	-0.06724473863
ECSIT	sensitivity	19	-0.06578619197
GNA12	sensitivity	20	-0.0657453035
CD70	resistance	1	0.1574080171
KLF5	resistance	2	0.1121613724
VAV1	resistance	3	0.1031848192
NT5C2	resistance	4	0.09348023605
MST1R	resistance	5	0.09110047422
MET	resistance	6	0.08333380025
FSTL1	resistance	7	0.08325867008
HSD3B1	resistance	8	0.08187416615
PPARG	resistance	9	0.08162676753
LYN	resistance	10	0.08123519465
RHOA	resistance	11	0.07946196914
MGAM	resistance	12	0.07843577036
ALDH1A3	resistance	13	0.0773288819
TIGAR	resistance	14	0.07696573276
LMNA	resistance	15	0.07590234456
BCL9L	resistance	16	0.07548050313
NFE2	resistance	17	0.07442177558
MPL	resistance	18	0.0725483661
ELF4	resistance	19	0.0720552289
YES1	resistance	20	0.06765035995
