gene_symbol	direction	rank_in_direction	rho
GRB7	sensitivity	1	-0.3767981571
TACSTD2	sensitivity	2	-0.3101751909
KLF5	sensitivity	3	-0.3089276056
MYCL	sensitivity	4	-0.302708983
SYK	sensitivity	5	-0.2995257442
ERBB3	sensitivity	6	-0.2798837268
FGFR3	sensitivity	7	-0.2774613803
MST1R	sensitivity	8	-0.275094124
PIK3C2B	sensitivity	9	-0.261350171
REL	sensitivity	10	-0.2580152043
MYCN	sensitivity	11	-0.2487505989
FGFR2	sensitivity	12	-0.2335317744
ERBB2	sensitivity	13	-0.2282339673
CACNA1D	sensitivity	14	-0.2159107921
FGF19	sensitivity	15	-0.2044295921
BCR	sensitivity	16	-0.1961975223
MPL	sensitivity	17	-0.1881674821
MYB	sensitivity	18	-0.1868057172
TNFSF13	sensitivity	19	-0.178753344
LCK	sensitivity	20	-0.1763416932
RHOA	resistance	1	0.3443271023
FGFR1	resistance	2	0.3354572067
ETV5	resistance	3	0.3159718129
DDR2	resistance	4	0.3047034643
TFE3	resistance	5	0.2998173707
FGF2	resistance	6	0.2896767483
ABL2	resistance	7	0.2896313977
IL6ST	resistance	8	0.2812001304
FSTL1	resistance	9	0.2782507407
AXL	resistance	10	0.2762391944
CDH2	resistance	11	0.2744477636
ETV1	resistance	12	0.2714740447
POU3F2	resistance	13	0.2683269652
AKT3	resistance	14	0.2661269541
PIK3CD	resistance	15	0.2643403461
MYBL1	resistance	16	0.2642601816
PDGFRB	resistance	17	0.257974315
WWTR1	resistance	18	0.256630097
JAZF1	resistance	19	0.2561907261
AFF4	resistance	20	0.2549306426
