gene_symbol	direction	rank_in_direction	rho
AURKB	sensitivity	1	-0.2691324738
TERT	sensitivity	2	-0.2443560358
YWHAE	sensitivity	3	-0.2166057812
EWSR1	sensitivity	4	-0.2158124686
CAD	sensitivity	5	-0.2076582225
TYMS	sensitivity	6	-0.2015164836
BUB1B	sensitivity	7	-0.1908684447
ATIC	sensitivity	8	-0.1744949961
TOP1	sensitivity	9	-0.1688645692
NUF2	sensitivity	10	-0.1657227065
USP1	sensitivity	11	-0.1642492612
MYC	sensitivity	12	-0.1546695978
HDAC1	sensitivity	13	-0.1524068752
AURKA	sensitivity	14	-0.1505611001
HDAC2	sensitivity	15	-0.1490495187
RPS15	sensitivity	16	-0.1484112708
SET	sensitivity	17	-0.1480709019
XPO1	sensitivity	18	-0.1437620481
DEK	sensitivity	19	-0.1349794744
YES1	sensitivity	20	-0.1349637137
CANT1	resistance	1	0.1751589744
ESR1	resistance	2	0.1748986184
MAFB	resistance	3	0.1674458815
BCL6	resistance	4	0.1609496767
SCG5	resistance	5	0.1602377375
SQSTM1	resistance	6	0.1592251022
COL1A1	resistance	7	0.1555489354
PGBD5	resistance	8	0.1545091626
ERCC6	resistance	9	0.1504007536
VEGFA	resistance	10	0.148488709
ROS1	resistance	11	0.1474785679
GREM1	resistance	12	0.1466141867
BCL3	resistance	13	0.1458740282
RRAS	resistance	14	0.1397317423
VAV2	resistance	15	0.1372522497
TSHR	resistance	16	0.1331798226
MAPK3	resistance	17	0.1318920498
STAT4	resistance	18	0.127087689
CACNA1D	resistance	19	0.1251399611
AFF4	resistance	20	0.1229451163
