gene_symbol	direction	rank_in_direction	rho
H3-3A	sensitivity	1	-0.2521038317
UBTF	sensitivity	2	-0.2487639458
DOT1L	sensitivity	3	-0.2401003774
BCL9	sensitivity	4	-0.2346216338
CHD4	sensitivity	5	-0.2241533558
FOXN4	sensitivity	6	-0.2241241658
DNMT1	sensitivity	7	-0.2152025478
MDM4	sensitivity	8	-0.2139207869
CAD	sensitivity	9	-0.2133573571
EWSR1	sensitivity	10	-0.2110245508
PRCC	sensitivity	11	-0.2088031701
ASCL1	sensitivity	12	-0.2028447236
PPM1D	sensitivity	13	-0.2012623733
CRKL	sensitivity	14	-0.1981265565
PAK5	sensitivity	15	-0.1865692138
MYB	sensitivity	16	-0.1844480849
BRD3	sensitivity	17	-0.1824671574
BRD2	sensitivity	18	-0.1824648244
HDAC2	sensitivity	19	-0.1814407971
BUB1B	sensitivity	20	-0.1798331002
AXL	resistance	1	0.248440749
IQGAP1	resistance	2	0.213694505
LASP1	resistance	3	0.2103218561
RRAS2	resistance	4	0.2096075732
RRAS	resistance	5	0.2084673197
YAP1	resistance	6	0.2024444337
LMNA	resistance	7	0.195742029
PDCD1LG2	resistance	8	0.195279359
ARHGEF28	resistance	9	0.1840093794
CLIP1	resistance	10	0.1837623239
NCOA4	resistance	11	0.1801329603
GATA6	resistance	12	0.1789915851
SQSTM1	resistance	13	0.1727551994
WWTR1	resistance	14	0.1725056348
BCL9L	resistance	15	0.1721259391
MET	resistance	16	0.1711452973
NT5C2	resistance	17	0.1700385636
BCL6	resistance	18	0.1682699066
IL6ST	resistance	19	0.1674343258
PICALM	resistance	20	0.1670561835
