gene_symbol	direction	rank_in_direction	rho
SET	sensitivity	1	-0.2716058648
HDAC2	sensitivity	2	-0.2634604634
BUB1B	sensitivity	3	-0.2548085545
EWSR1	sensitivity	4	-0.2279568703
BRD3	sensitivity	5	-0.2266405905
FOXN4	sensitivity	6	-0.2243369514
REL	sensitivity	7	-0.2214347253
CAD	sensitivity	8	-0.2177843727
USP1	sensitivity	9	-0.2171251742
DOT1L	sensitivity	10	-0.2082349075
H3-3A	sensitivity	11	-0.20744312
BRD4	sensitivity	12	-0.2051948229
MYB	sensitivity	13	-0.1983847549
APEX1	sensitivity	14	-0.1978303559
CRKL	sensitivity	15	-0.1907386661
UBTF	sensitivity	16	-0.1864217962
AGO1	sensitivity	17	-0.1854102831
ARID3B	sensitivity	18	-0.183672028
ECSIT	sensitivity	19	-0.1817858297
PRCC	sensitivity	20	-0.181650312
SQSTM1	resistance	1	0.2562376675
ADHFE1	resistance	2	0.2231020104
WWTR1	resistance	3	0.2136349497
LMNA	resistance	4	0.2135779712
LASP1	resistance	5	0.2064651617
GSTO1	resistance	6	0.1906595213
MET	resistance	7	0.1900718824
MYBL1	resistance	8	0.176073278
RRAS	resistance	9	0.1733822303
ACVR1	resistance	10	0.171066174
ARHGEF28	resistance	11	0.1690563243
IRS2	resistance	12	0.1670989028
RHEB	resistance	13	0.1662294482
IL6ST	resistance	14	0.1662211853
AXL	resistance	15	0.1661205766
MGAM	resistance	16	0.1659052533
ABCB1	resistance	17	0.1646775163
PICALM	resistance	18	0.1624189142
FGF1	resistance	19	0.159944546
NQO1	resistance	20	0.1548806533
