gene_symbol	direction	rank_in_direction	rho
ANKRD26	sensitivity	1	-0.2266345165
APEX1	sensitivity	2	-0.2079794119
UBTF	sensitivity	3	-0.2075410796
USP1	sensitivity	4	-0.2001542327
BUB1B	sensitivity	5	-0.187257719
HDAC2	sensitivity	6	-0.1862569571
CAD	sensitivity	7	-0.1842215489
GLI1	sensitivity	8	-0.1824394404
EWSR1	sensitivity	9	-0.1816443415
DOT1L	sensitivity	10	-0.1688572867
PPM1D	sensitivity	11	-0.1672878243
AGO1	sensitivity	12	-0.1650816349
FGFR1	sensitivity	13	-0.1616764387
MLLT10	sensitivity	14	-0.1580141802
DNMT1	sensitivity	15	-0.1579378114
BIRC5	sensitivity	16	-0.1543698382
NRAS	sensitivity	17	-0.1540549762
PLCG1	sensitivity	18	-0.1478894421
ADGRA2	sensitivity	19	-0.1435642582
NSD2	sensitivity	20	-0.1431196835
ALDH1A3	resistance	1	0.1912119083
SQSTM1	resistance	2	0.1827638629
MST1R	resistance	3	0.1785755993
ERBB3	resistance	4	0.1746273874
TNFSF13	resistance	5	0.1733239368
MET	resistance	6	0.1652740918
TACSTD2	resistance	7	0.1618178888
MGAM	resistance	8	0.1588213429
PIK3CB	resistance	9	0.1507975732
IRS2	resistance	10	0.1484837685
CD74	resistance	11	0.1462081565
ABCC3	resistance	12	0.1428537635
KLF5	resistance	13	0.134175604
PDGFB	resistance	14	0.124930812
GRB7	resistance	15	0.1245084475
GATA6	resistance	16	0.1237580738
ERBB2	resistance	17	0.1171122938
MAP3K13	resistance	18	0.1150108522
STAT5A	resistance	19	0.1093022877
CD274	resistance	20	0.1038580523
