gene_symbol	direction	rank_in_direction	rho
ETV4	sensitivity	1	-0.1385692348
GSTO1	sensitivity	2	-0.1241310946
FURIN	sensitivity	3	-0.1128904719
FGFR4	sensitivity	4	-0.1077622793
HMGA2	sensitivity	5	-0.0996535815
CTNNB1	sensitivity	6	-0.09957471271
PAX8	sensitivity	7	-0.09939504849
ETV5	sensitivity	8	-0.09632729241
CCNB3	sensitivity	9	-0.09465200652
FGF8	sensitivity	10	-0.08457148917
FGF3	sensitivity	11	-0.08314667944
TOP1	sensitivity	12	-0.08142930251
MTHFD2	sensitivity	13	-0.077725658
TIGAR	sensitivity	14	-0.07663777662
CLIP1	sensitivity	15	-0.07353299981
H3C2	sensitivity	16	-0.07331646002
HMGA1	sensitivity	17	-0.07279620344
EIF4E	sensitivity	18	-0.07137284047
PLCG2	sensitivity	19	-0.07117317122
PIK3CD	sensitivity	20	-0.07105287868
SETBP1	resistance	1	0.119415569
GNAQ	resistance	2	0.1015807453
ELN	resistance	3	0.09099774861
CSF3R	resistance	4	0.08991122903
BAALC	resistance	5	0.08842625014
PIK3CA	resistance	6	0.08834052236
BRD3	resistance	7	0.08729381201
HRAS	resistance	8	0.08532152667
PGBD5	resistance	9	0.08491547235
FGF6	resistance	10	0.08254688384
UCHL1	resistance	11	0.07877750523
NUP214	resistance	12	0.07559913533
UBE2A	resistance	13	0.07418045652
LMO1	resistance	14	0.07306398319
VAV2	resistance	15	0.07042898281
IDH2	resistance	16	0.07033349472
RHEB	resistance	17	0.06979887903
MYBL1	resistance	18	0.06827520269
PHF19	resistance	19	0.06666647594
PDK1	resistance	20	0.06659917645
