gene_symbol	direction	rank_in_direction	rho
HDAC2	sensitivity	1	-0.2032151366
DOT1L	sensitivity	2	-0.177466371
REV3L	sensitivity	3	-0.1769120905
AGO1	sensitivity	4	-0.1744557724
E2F3	sensitivity	5	-0.1642902418
USP1	sensitivity	6	-0.1565043001
BRD4	sensitivity	7	-0.1558734217
CAD	sensitivity	8	-0.1553493707
GNB1	sensitivity	9	-0.1529895275
MAP3K7	sensitivity	10	-0.1516010661
CDK4	sensitivity	11	-0.1494763541
EWSR1	sensitivity	12	-0.1492442627
UBTF	sensitivity	13	-0.149100482
XPO1	sensitivity	14	-0.1461624482
FUS	sensitivity	15	-0.1455164595
CRTC1	sensitivity	16	-0.144798385
DDR2	sensitivity	17	-0.1422220709
POU3F2	sensitivity	18	-0.141102975
RAF1	sensitivity	19	-0.139724118
ERC1	sensitivity	20	-0.1381280594
KLF5	resistance	1	0.1592783705
VAV1	resistance	2	0.1560331802
GRB7	resistance	3	0.1351625004
PAX8	resistance	4	0.1339075516
PDGFB	resistance	5	0.1271361633
MET	resistance	6	0.1258256782
ABCC3	resistance	7	0.125291853
FOLR1	resistance	8	0.1247402078
CARD11	resistance	9	0.1229494655
STAT4	resistance	10	0.1150685034
FGFR3	resistance	11	0.1134168157
FGFR4	resistance	12	0.1072635229
ERBB2	resistance	13	0.1066676094
NCOA4	resistance	14	0.1060054818
NTRK2	resistance	15	0.1023700066
MST1R	resistance	16	0.09972638591
EGFR	resistance	17	0.09931361613
ARHGEF28	resistance	18	0.09745690017
PAX7	resistance	19	0.09694266531
ADHFE1	resistance	20	0.09620673015
