gene_symbol	direction	rank_in_direction	rho
EWSR1	sensitivity	1	-0.2639178771
CAD	sensitivity	2	-0.2617815418
BUB1B	sensitivity	3	-0.2565341707
DOT1L	sensitivity	4	-0.2448672693
HDAC2	sensitivity	5	-0.2410147031
CHD4	sensitivity	6	-0.2342689443
APEX1	sensitivity	7	-0.2250457834
SET	sensitivity	8	-0.2237698085
UBTF	sensitivity	9	-0.2194150891
CRKL	sensitivity	10	-0.2168073333
MTHFD2	sensitivity	11	-0.2157342072
FOXN4	sensitivity	12	-0.2047642226
ARID3B	sensitivity	13	-0.2015414429
BRD4	sensitivity	14	-0.197980265
CDK4	sensitivity	15	-0.1960957726
PRCC	sensitivity	16	-0.1916867455
AGO1	sensitivity	17	-0.1897871794
PAK5	sensitivity	18	-0.1859975773
MSI1	sensitivity	19	-0.1843417613
CDK8	sensitivity	20	-0.1835656595
SQSTM1	resistance	1	0.2748006398
ABCC3	resistance	2	0.2429097198
LMNA	resistance	3	0.2419931586
LASP1	resistance	4	0.2403118755
RRAS	resistance	5	0.2034022044
ADHFE1	resistance	6	0.1957265858
NQO1	resistance	7	0.1921388546
MET	resistance	8	0.1849420827
BCL9L	resistance	9	0.1774310905
PPARG	resistance	10	0.175079875
YAP1	resistance	11	0.1742095981
AXL	resistance	12	0.1739105235
PICALM	resistance	13	0.1717068785
BCL6	resistance	14	0.1688113359
PDGFB	resistance	15	0.168015219
ALDH1A3	resistance	16	0.1647076164
NFE2	resistance	17	0.1641206394
IKBKE	resistance	18	0.1613612435
IQGAP1	resistance	19	0.1604593662
HFE	resistance	20	0.1586377388
