gene_symbol	direction	rank_in_direction	rho
UBR5	sensitivity	1	-0.2142546612
AKT2	sensitivity	2	-0.2118821475
GTF2I	sensitivity	3	-0.2108165422
RET	sensitivity	4	-0.195149271
MSI1	sensitivity	5	-0.1899204702
DOT1L	sensitivity	6	-0.1898544583
PAK5	sensitivity	7	-0.1880096907
FRS2	sensitivity	8	-0.1869625176
CRKL	sensitivity	9	-0.185960557
AKT1	sensitivity	10	-0.1847921464
SOS1	sensitivity	11	-0.1805732385
PRCC	sensitivity	12	-0.1804757708
IGF2	sensitivity	13	-0.1714895279
FLT4	sensitivity	14	-0.1712067707
EMSY	sensitivity	15	-0.1709138167
RAF1	sensitivity	16	-0.1703348451
RSPO2	sensitivity	17	-0.1690730328
FUS	sensitivity	18	-0.1660986344
CREB1	sensitivity	19	-0.1603257204
PLCG1	sensitivity	20	-0.159862049
PIK3CB	resistance	1	0.1878776496
HFE	resistance	2	0.187824969
IRS2	resistance	3	0.1858874563
PPARG	resistance	4	0.1615026972
SQSTM1	resistance	5	0.1579128675
MET	resistance	6	0.1549764829
GSTO1	resistance	7	0.1471691181
CD70	resistance	8	0.141107068
NQO1	resistance	9	0.1310066478
ABCC3	resistance	10	0.131001843
HMGA1	resistance	11	0.1269991486
CD74	resistance	12	0.118600114
IQGAP1	resistance	13	0.108400845
LMNA	resistance	14	0.1063603734
CRLF2	resistance	15	0.102247474
AXL	resistance	16	0.09694856754
MAP3K13	resistance	17	0.08989297348
MAP3K14	resistance	18	0.08954840474
KLF5	resistance	19	0.08891726738
MST1R	resistance	20	0.08784220605
