gene_symbol	direction	rank_in_direction	rho
EZHIP	sensitivity	1	-0.1874785073
PGBD5	sensitivity	2	-0.1853629476
BRD9	sensitivity	3	-0.1806738284
MYBL1	sensitivity	4	-0.1805762898
TSHR	sensitivity	5	-0.1731444967
NSD2	sensitivity	6	-0.1675535368
NADK	sensitivity	7	-0.16570494
POU2F2	sensitivity	8	-0.1644725422
CREB1	sensitivity	9	-0.1640211099
MAP3K14	sensitivity	10	-0.160484802
KSR2	sensitivity	11	-0.1601494481
SCG5	sensitivity	12	-0.1581195013
LGR5	sensitivity	13	-0.157935521
OGA	sensitivity	14	-0.1544002566
SETD1A	sensitivity	15	-0.1531276373
RHEB	sensitivity	16	-0.1497792057
RELA	sensitivity	17	-0.1492517408
IGF2	sensitivity	18	-0.1488987451
KIAA1549	sensitivity	19	-0.1474310168
GREM1	sensitivity	20	-0.141094961
GSTO1	resistance	1	0.1740432952
SGK1	resistance	2	0.1392972968
NQO1	resistance	3	0.130745486
RPS15	resistance	4	0.1253960397
MAP2K2	resistance	5	0.1099700739
ITPKB	resistance	6	0.1074719368
ETV4	resistance	7	0.1074638219
FOLH1	resistance	8	0.09129618465
MYC	resistance	9	0.08730249175
PIK3CB	resistance	10	0.08197015713
NR4A3	resistance	11	0.06838502607
ETV5	resistance	12	0.06621165913
NCOA4	resistance	13	0.06568455287
RSPO2	resistance	14	0.06409242723
AKT1S1	resistance	15	0.0640622839
WWTR1	resistance	16	0.06298142195
NAB2	resistance	17	0.0608699748
HGF	resistance	18	0.05984240873
XBP1	resistance	19	0.05832138452
NTRK2	resistance	20	0.05695331835
