gene_symbol	direction	rank_in_direction	mean_rank
DOT1L	sensitivity	1	1
EWSR1	sensitivity	2	5
HDAC2	sensitivity	3	6.5
UBTF	sensitivity	4	6.5
NTRK1	sensitivity	5	9
FOXN4	sensitivity	6	9.5
BRD4	sensitivity	7	11
AGO1	sensitivity	8	11.5
MDM4	sensitivity	9	11.5
PRCC	sensitivity	10	12
APEX1	sensitivity	11	12.5
DNMT1	sensitivity	12	13
ABCC3	resistance	1	1
MET	resistance	2	3
PPARG	resistance	3	3
SQSTM1	resistance	4	3
ARHGEF28	resistance	5	6.5
FOLR1	resistance	6	7.5
KLF5	resistance	7	7.5
LASP1	resistance	8	7.5
PDGFB	resistance	9	11
LMNA	resistance	10	11.5
NQO1	resistance	11	11.5
GATA6	resistance	12	12.5
EGFR	resistance	13	13.5
MECOM	resistance	14	14.5
IQGAP1	resistance	15	19.5
