gene_symbol	direction	rank_in_direction	rho
FOXN4	sensitivity	1	-0.2575049791
DOT1L	sensitivity	2	-0.2534815223
PRCC	sensitivity	3	-0.2516477682
EWSR1	sensitivity	4	-0.245233828
HDAC2	sensitivity	5	-0.2375660736
UBTF	sensitivity	6	-0.2295416672
USP1	sensitivity	7	-0.2272096936
APEX1	sensitivity	8	-0.2260286227
BUB1B	sensitivity	9	-0.2244875015
CHD4	sensitivity	10	-0.2241624264
DNMT1	sensitivity	11	-0.2208824801
MYB	sensitivity	12	-0.2189264948
H3-3A	sensitivity	13	-0.2165521588
CAD	sensitivity	14	-0.2155263928
BRD2	sensitivity	15	-0.2141348039
MDM4	sensitivity	16	-0.20984157
FUS	sensitivity	17	-0.2093276819
MKI67	sensitivity	18	-0.204624977
NSD2	sensitivity	19	-0.2022848862
NTRK1	sensitivity	20	-0.2014094734
ABCC3	resistance	1	0.2726495081
SQSTM1	resistance	2	0.2461534187
LASP1	resistance	3	0.2302813247
RRAS	resistance	4	0.2271111895
MET	resistance	5	0.2054508292
FOLR1	resistance	6	0.2012773489
IQGAP1	resistance	7	0.1985142181
PDGFB	resistance	8	0.1977396652
LMNA	resistance	9	0.1940764646
NQO1	resistance	10	0.1836548555
WWTR1	resistance	11	0.1760144443
ARHGEF28	resistance	12	0.174044633
CLIP1	resistance	13	0.1685088324
PIK3CB	resistance	14	0.1635497706
EGFR	resistance	15	0.1572850298
AXL	resistance	16	0.1559401866
GATA6	resistance	17	0.1520608461
PPARG	resistance	18	0.1498840699
IL6ST	resistance	19	0.1481662789
RRAS2	resistance	20	0.1459847124
