gene_symbol	direction	rank_in_direction	rho
ETV4	sensitivity	1	-0.4969809784
ERBB3	sensitivity	2	-0.3091916774
GSTO1	sensitivity	3	-0.2911375445
CD74	sensitivity	4	-0.2883606574
HMGA1	sensitivity	5	-0.2725681973
ETV5	sensitivity	6	-0.267154503
HMGA2	sensitivity	7	-0.2528810707
FURIN	sensitivity	8	-0.2459355132
STAT5A	sensitivity	9	-0.2128572777
ALDH1A3	sensitivity	10	-0.2120907621
RAC2	sensitivity	11	-0.2066727268
STAT6	sensitivity	12	-0.2035675953
MST1R	sensitivity	13	-0.2017729369
IKBKE	sensitivity	14	-0.1977108043
KLF5	sensitivity	15	-0.1939877356
SOX10	sensitivity	16	-0.1896197938
MGAM	sensitivity	17	-0.1845172746
IRS2	sensitivity	18	-0.1818854517
PLCG2	sensitivity	19	-0.1764269968
GATA6	sensitivity	20	-0.1734457645
RAF1	resistance	1	0.3335293171
FRS2	resistance	2	0.3164509273
BRD3	resistance	3	0.3017528933
FGFR1	resistance	4	0.2974236074
NSD2	resistance	5	0.2965989895
RNASEH2A	resistance	6	0.2841372245
UCHL1	resistance	7	0.280051701
IDH2	resistance	8	0.2774970383
H1-4	resistance	9	0.274704146
USP1	resistance	10	0.2706950674
DEK	resistance	11	0.2672992578
TOP2A	resistance	12	0.2661801437
BUB1B	resistance	13	0.2651230946
PRKACA	resistance	14	0.2646305611
GNB1	resistance	15	0.2607595818
H3C2	resistance	16	0.2572379334
AKT2	resistance	17	0.2571716006
UBTF	resistance	18	0.25401204
SET	resistance	19	0.2490618281
FLT4	resistance	20	0.24666021
