gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.3225768413
HDAC2	sensitivity	2	-0.3121445517
CAD	sensitivity	3	-0.2812295126
FOXN4	sensitivity	4	-0.2719866069
EWSR1	sensitivity	5	-0.2713830873
AGO1	sensitivity	6	-0.2709819988
SET	sensitivity	7	-0.2581728038
H3-3A	sensitivity	8	-0.2572611201
BRD4	sensitivity	9	-0.2562820439
BUB1B	sensitivity	10	-0.2558508908
MDM4	sensitivity	11	-0.2557145423
PRCC	sensitivity	12	-0.2538600976
MTHFD2	sensitivity	13	-0.2535852192
MSI1	sensitivity	14	-0.2532240164
CDK8	sensitivity	15	-0.2443382451
UBTF	sensitivity	16	-0.2415188435
APEX1	sensitivity	17	-0.2380512359
E2F3	sensitivity	18	-0.2367011928
ECSIT	sensitivity	19	-0.2331322198
BRD3	sensitivity	20	-0.2315446523
LASP1	resistance	1	0.3300306586
ABCC3	resistance	2	0.3159927865
SQSTM1	resistance	3	0.3159059249
RRAS	resistance	4	0.2846555512
MET	resistance	5	0.2844128746
LMNA	resistance	6	0.2763472897
AXL	resistance	7	0.2527982679
ADHFE1	resistance	8	0.2484544895
IQGAP1	resistance	9	0.2470889168
ARHGEF28	resistance	10	0.2459468555
PPARG	resistance	11	0.229875604
CD74	resistance	12	0.2170302784
IKBKE	resistance	13	0.2162914706
CRLF2	resistance	14	0.2147904193
WWTR1	resistance	15	0.2140394621
PDGFB	resistance	16	0.2127579864
BCL3	resistance	17	0.2125839218
ALDH1A3	resistance	18	0.2093265996
NT5C2	resistance	19	0.2084309752
NCOA4	resistance	20	0.2076566207
