gene_symbol	direction	rank_in_direction	rho
MYB	sensitivity	1	-0.2661261275
H3-3A	sensitivity	2	-0.264272206
DOT1L	sensitivity	3	-0.2451314986
CHD4	sensitivity	4	-0.2433567036
PPM1D	sensitivity	5	-0.2416835923
MYCN	sensitivity	6	-0.231878632
FOXN4	sensitivity	7	-0.2314656102
EML4	sensitivity	8	-0.2256218448
CDK8	sensitivity	9	-0.2156359727
BCL9	sensitivity	10	-0.2154954055
MDM4	sensitivity	11	-0.2120906094
HDAC2	sensitivity	12	-0.2104857488
CACNA1D	sensitivity	13	-0.2082825535
MSI2	sensitivity	14	-0.208053829
BRD3	sensitivity	15	-0.2074428403
MYCL	sensitivity	16	-0.207243
IDH2	sensitivity	17	-0.2010682379
APEX1	sensitivity	18	-0.2009842274
ONECUT2	sensitivity	19	-0.20022992
ARID3B	sensitivity	20	-0.198103975
AXL	resistance	1	0.2906671995
SQSTM1	resistance	2	0.2736710393
IL6ST	resistance	3	0.2735895966
HFE	resistance	4	0.2703088554
WWTR1	resistance	5	0.2700295839
LMNA	resistance	6	0.2609414412
CD70	resistance	7	0.2599850331
RRAS	resistance	8	0.2579724982
EGFR	resistance	9	0.2548333186
IQGAP1	resistance	10	0.2509380946
FGF2	resistance	11	0.2484682804
IL7R	resistance	12	0.2472508667
CLIP1	resistance	13	0.2472221986
RRAS2	resistance	14	0.2378469768
PDCD1LG2	resistance	15	0.2372332117
MAP3K14	resistance	16	0.2289451325
FGF1	resistance	17	0.2249710838
TFE3	resistance	18	0.2198847079
BCL3	resistance	19	0.2143497301
NQO1	resistance	20	0.2118167003
