gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.2472385246
UBTF	sensitivity	2	-0.223510604
RPS15	sensitivity	3	-0.2072461368
FLI1	sensitivity	4	-0.1929169881
PPM1D	sensitivity	5	-0.1864592528
MYB	sensitivity	6	-0.1805737608
RIOK2	sensitivity	7	-0.1760058326
JAK2	sensitivity	8	-0.1743703231
APEX1	sensitivity	9	-0.1724628317
CAD	sensitivity	10	-0.1722422785
USP1	sensitivity	11	-0.1713147474
ATXN7	sensitivity	12	-0.1666850496
DNMT1	sensitivity	13	-0.1660561784
E2F3	sensitivity	14	-0.1652338741
CREB1	sensitivity	15	-0.1639638451
TYK2	sensitivity	16	-0.1631928249
BRD4	sensitivity	17	-0.1597083413
MYD88	sensitivity	18	-0.1589097167
RHOA	sensitivity	19	-0.1586395137
MDM4	sensitivity	20	-0.1559854825
ERBB3	resistance	1	0.2287556287
SQSTM1	resistance	2	0.2204258931
GRB7	resistance	3	0.2184266
PDGFB	resistance	4	0.2054186131
ARHGEF28	resistance	5	0.2019143259
KLF5	resistance	6	0.1838902134
GATA6	resistance	7	0.1813750407
ALDH1A3	resistance	8	0.1784182175
MET	resistance	9	0.173178048
EGFR	resistance	10	0.1725419259
CCND1	resistance	11	0.1696823113
FOLR1	resistance	12	0.1692567322
TACSTD2	resistance	13	0.1651247226
MST1R	resistance	14	0.1645810598
MAP3K21	resistance	15	0.1637662191
FGFR4	resistance	16	0.1636758352
KSR2	resistance	17	0.1626539484
ERBB2	resistance	18	0.1609302078
ABCC3	resistance	19	0.158586647
MPL	resistance	20	0.1577685006
