gene_symbol	direction	rank_in_direction	rho
UBTF	sensitivity	1	-0.2344765442
MDM4	sensitivity	2	-0.2319759256
MYB	sensitivity	3	-0.2238314121
DOT1L	sensitivity	4	-0.2216840742
DNMT1	sensitivity	5	-0.2181176956
CHD4	sensitivity	6	-0.2140633268
PPM1D	sensitivity	7	-0.2112050258
BCL2	sensitivity	8	-0.2098423518
BRD2	sensitivity	9	-0.2087088745
BRD4	sensitivity	10	-0.2033820686
TYK2	sensitivity	11	-0.1964089945
EWSR1	sensitivity	12	-0.1941596123
SETD1A	sensitivity	13	-0.1933350468
OGT	sensitivity	14	-0.1919744985
PRCC	sensitivity	15	-0.1918111737
INSR	sensitivity	16	-0.1913546133
TAF1	sensitivity	17	-0.1866017927
STAT5B	sensitivity	18	-0.1829426557
UBR5	sensitivity	19	-0.1816084327
JAK3	sensitivity	20	-0.1813700693
EGFR	resistance	1	0.229132622
HFE	resistance	2	0.2078370863
AXL	resistance	3	0.206851692
NQO1	resistance	4	0.2033625572
ABCC3	resistance	5	0.1991841581
RRAS	resistance	6	0.1965215664
WWTR1	resistance	7	0.194543333
YAP1	resistance	8	0.1945400581
MET	resistance	9	0.1904178628
LMNA	resistance	10	0.1892304903
PDGFB	resistance	11	0.1874341798
GATA6	resistance	12	0.1857724118
BCL9L	resistance	13	0.1825508783
RPS6KA4	resistance	14	0.1798334737
ARHGEF28	resistance	15	0.175397689
SQSTM1	resistance	16	0.1736949351
PPARG	resistance	17	0.1736396461
FGF1	resistance	18	0.1725897544
FSTL1	resistance	19	0.1677546966
NRG1	resistance	20	0.1603056966
