gene_symbol	direction	rank_in_direction	rho
USP6	sensitivity	1	-0.1589212295
LGR5	sensitivity	2	-0.1424842488
FGF19	sensitivity	3	-0.1371157254
NR4A3	sensitivity	4	-0.1255012697
HSD3B1	sensitivity	5	-0.1254633617
FOLR1	sensitivity	6	-0.1187336282
CARD11	sensitivity	7	-0.11540251
ICOSLG	sensitivity	8	-0.1138551519
RSPO2	sensitivity	9	-0.1101880368
CCNE1	sensitivity	10	-0.1077390168
ROS1	sensitivity	11	-0.1052938702
FRS2	sensitivity	12	-0.1030297368
ERBB2	sensitivity	13	-0.102633004
FLT1	sensitivity	14	-0.09888363337
HDAC7	sensitivity	15	-0.09866320212
MEF2B	sensitivity	16	-0.09787397779
GATA6	sensitivity	17	-0.09383199896
MAP2K2	sensitivity	18	-0.09357212618
STAT6	sensitivity	19	-0.09082538812
LYN	sensitivity	20	-0.09011268285
PDK1	resistance	1	0.1275626672
MTHFD2	resistance	2	0.1186293759
NUP214	resistance	3	0.1186172707
SRP72	resistance	4	0.1117634247
IL3	resistance	5	0.1107776721
FOLH1	resistance	6	0.0984100926
CREB1	resistance	7	0.09690591874
TPM3	resistance	8	0.09489432903
AGK	resistance	9	0.09394605815
BCL2	resistance	10	0.09335749756
RPTOR	resistance	11	0.09258161956
STAT3	resistance	12	0.09111688913
TYMS	resistance	13	0.09100678954
BUB1B	resistance	14	0.09049616176
STAT4	resistance	15	0.09048703114
KIT	resistance	16	0.08753900101
ALK	resistance	17	0.08591595124
ETV1	resistance	18	0.0850299969
NSD2	resistance	19	0.08448632278
NUF2	resistance	20	0.07645279316
