gene_symbol	direction	rank_in_direction	rho
PIK3CG	sensitivity	1	-0.3058556923
IRF4	sensitivity	2	-0.2929592001
CD79B	sensitivity	3	-0.275196969
PIK3CD	sensitivity	4	-0.2633355948
PDK1	sensitivity	5	-0.2459943611
MEF2D	sensitivity	6	-0.2438201897
CD74	sensitivity	7	-0.2398576258
CD70	sensitivity	8	-0.2375371208
RAC2	sensitivity	9	-0.228819598
FLI1	sensitivity	10	-0.2281726117
CD28	sensitivity	11	-0.2196822781
HMGA1	sensitivity	12	-0.2088078412
CTLA4	sensitivity	13	-0.2059544404
JAK3	sensitivity	14	-0.1982814531
TYMS	sensitivity	15	-0.1972123329
IKBKE	sensitivity	16	-0.1957297908
CAD	sensitivity	17	-0.1949771129
GSTO1	sensitivity	18	-0.1765832256
LEF1	sensitivity	19	-0.1741625674
RPS15	sensitivity	20	-0.1724749731
VAV2	resistance	1	0.2764889965
ID1	resistance	2	0.2752319369
FGFR3	resistance	3	0.2698799764
FGFR2	resistance	4	0.2687671491
ABCC3	resistance	5	0.2456577111
PRKCI	resistance	6	0.2434569297
FRS2	resistance	7	0.2340892239
PTK7	resistance	8	0.2302500158
EGFR	resistance	9	0.2302364523
COL1A1	resistance	10	0.2288660105
GRB7	resistance	11	0.2239295377
GNA11	resistance	12	0.2210891532
MST1R	resistance	13	0.2122165146
MAP3K13	resistance	14	0.2101899391
TACSTD2	resistance	15	0.2070147098
ERBB2	resistance	16	0.2063085571
BRD3	resistance	17	0.1994360663
PGBD5	resistance	18	0.1951900715
ARHGEF28	resistance	19	0.1885801283
MECOM	resistance	20	0.1878564951
