gene_symbol	direction	rank_in_direction	rho
RAC2	sensitivity	1	-0.3222219329
PIK3CG	sensitivity	2	-0.306260993
MYB	sensitivity	3	-0.2966741999
FLI1	sensitivity	4	-0.2953076514
DOT1L	sensitivity	5	-0.2761199511
MYC	sensitivity	6	-0.2698150381
CD79B	sensitivity	7	-0.2692708396
VAV1	sensitivity	8	-0.2692064507
POU2F2	sensitivity	9	-0.2640148087
DNMT1	sensitivity	10	-0.2404937598
UBTF	sensitivity	11	-0.2391491279
MDM4	sensitivity	12	-0.2387715408
TYK2	sensitivity	13	-0.2330480187
RPS15	sensitivity	14	-0.2321856782
ELL	sensitivity	15	-0.2297780526
STAT5A	sensitivity	16	-0.2280651217
BTK	sensitivity	17	-0.2271324886
CD74	sensitivity	18	-0.2198365503
BCL2	sensitivity	19	-0.2186097658
STAT5B	sensitivity	20	-0.2185438014
CD276	resistance	1	0.3257057832
ID1	resistance	2	0.3200838057
NQO1	resistance	3	0.3140333325
CLIP1	resistance	4	0.3127961578
MET	resistance	5	0.3072244375
SQSTM1	resistance	6	0.3016649171
ABCC3	resistance	7	0.3000269398
ARHGEF28	resistance	8	0.2905196054
GNA11	resistance	9	0.2878148489
WWTR1	resistance	10	0.286145682
ERBB2	resistance	11	0.2852934709
EGFR	resistance	12	0.2846514157
PDGFB	resistance	13	0.2768316309
IL6ST	resistance	14	0.2667275588
SRC	resistance	15	0.2643251601
RRAS	resistance	16	0.2602574361
ALDH1A3	resistance	17	0.257915765
BCL9L	resistance	18	0.2538522143
HFE	resistance	19	0.2492096077
YES1	resistance	20	0.2485994695
