gene_symbol	direction	rank_in_direction	rho
RRAS2	sensitivity	1	-0.33000173
EGFR	sensitivity	2	-0.2771229885
PDCD1LG2	sensitivity	3	-0.2743366231
HDAC7	sensitivity	4	-0.2742542495
AXL	sensitivity	5	-0.2668228028
IL7R	sensitivity	6	-0.2453436915
RAC2	sensitivity	7	-0.242352117
CARD11	sensitivity	8	-0.2313323544
RRAS	sensitivity	9	-0.2271672307
CD274	sensitivity	10	-0.216874708
LASP1	sensitivity	11	-0.2141821514
IKBKE	sensitivity	12	-0.2133077386
STAT4	sensitivity	13	-0.210996146
PAX8	sensitivity	14	-0.2069508209
MAP3K14	sensitivity	15	-0.2043077343
HMGA1	sensitivity	16	-0.1768515837
FSTL1	sensitivity	17	-0.1753905918
ARHGEF28	sensitivity	18	-0.1702572421
TACSTD2	sensitivity	19	-0.1699519446
HMGA2	sensitivity	20	-0.1693599315
CILK1	resistance	1	0.2788001838
MSI2	resistance	2	0.2527617201
PRCC	resistance	3	0.238287355
AGK	resistance	4	0.2328455911
ONECUT2	resistance	5	0.2224590326
BCL9	resistance	6	0.2200193459
POU3F2	resistance	7	0.2113010247
FOXN4	resistance	8	0.2034740438
H3-3A	resistance	9	0.1906665941
IDH1	resistance	10	0.190328299
CDK4	resistance	11	0.1880820541
UBA1	resistance	12	0.1817433472
KIAA1549	resistance	13	0.1775942222
CACNA1D	resistance	14	0.1757883294
PPM1D	resistance	15	0.1751396492
DOT1L	resistance	16	0.171687261
NADK	resistance	17	0.1684482714
AGO1	resistance	18	0.1678564814
CDK8	resistance	19	0.1678042616
MTOR	resistance	20	0.1675579101
