gene_symbol	direction	rank_in_direction	rho
FLI1	sensitivity	1	-0.2373348711
UBTF	sensitivity	2	-0.2100017188
CXCR4	sensitivity	3	-0.2098005386
BTK	sensitivity	4	-0.2060894137
IRF4	sensitivity	5	-0.2007915297
BCL2	sensitivity	6	-0.1964277511
DOT1L	sensitivity	7	-0.192840667
MEF2D	sensitivity	8	-0.190610822
PIK3CG	sensitivity	9	-0.1879974505
MDM4	sensitivity	10	-0.1772697155
SETD1A	sensitivity	11	-0.1710208815
NSD2	sensitivity	12	-0.1709783969
BRD2	sensitivity	13	-0.1664317052
CD79B	sensitivity	14	-0.1645188593
MYB	sensitivity	15	-0.1598961854
VAV1	sensitivity	16	-0.156420181
MYC	sensitivity	17	-0.1540170088
PLCG2	sensitivity	18	-0.1507941853
TSHR	sensitivity	19	-0.1499092964
FGF6	sensitivity	20	-0.1493541602
ETV4	resistance	1	0.2551828323
CD276	resistance	2	0.2402117561
FOLR1	resistance	3	0.2297392135
ARHGEF28	resistance	4	0.2295423111
ID1	resistance	5	0.2243520062
ABCC3	resistance	6	0.224092089
MET	resistance	7	0.2165176939
HMGA2	resistance	8	0.2148697358
NQO1	resistance	9	0.2113254116
VEGFA	resistance	10	0.2060373522
IDH1	resistance	11	0.2059856539
GATA6	resistance	12	0.2056834488
CTNNB1	resistance	13	0.204550531
ETV1	resistance	14	0.2019659036
BCL2L2	resistance	15	0.201884228
LMNA	resistance	16	0.1989573976
FGFR3	resistance	17	0.1983887544
EPHB4	resistance	18	0.1979416987
PDGFB	resistance	19	0.1953443516
PPARG	resistance	20	0.191011828
