gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.3874383684
MYB	sensitivity	2	-0.3774996138
UBTF	sensitivity	3	-0.3678898057
BUB1B	sensitivity	4	-0.3567077591
CAD	sensitivity	5	-0.3541287812
DNMT1	sensitivity	6	-0.3449243222
VAV1	sensitivity	7	-0.3204564215
FLI1	sensitivity	8	-0.3193153441
TERT	sensitivity	9	-0.3185171831
CHD4	sensitivity	10	-0.3174575911
ARID3B	sensitivity	11	-0.3170074664
MTHFD2	sensitivity	12	-0.3142715557
BRD4	sensitivity	13	-0.3081826521
MYC	sensitivity	14	-0.3074410123
LYN	sensitivity	15	-0.3052964048
APEX1	sensitivity	16	-0.3051914546
PLCG2	sensitivity	17	-0.3039692475
PIK3CG	sensitivity	18	-0.3031809154
EWSR1	sensitivity	19	-0.302461448
CREB1	sensitivity	20	-0.3018541349
ARHGEF28	resistance	1	0.4135639646
LMNA	resistance	2	0.411955124
SQSTM1	resistance	3	0.4012650164
MET	resistance	4	0.3983573289
ABCC3	resistance	5	0.3905271719
RRAS	resistance	6	0.3857263545
ERBB2	resistance	7	0.3775738844
WWTR1	resistance	8	0.3746905985
GATA6	resistance	9	0.3650860164
NQO1	resistance	10	0.3630643498
RHEB	resistance	11	0.3615593933
CLIP1	resistance	12	0.3517456075
YAP1	resistance	13	0.3497335498
ERBB3	resistance	14	0.347493489
ACVR1	resistance	15	0.3419794402
HFE	resistance	16	0.3410185423
AXL	resistance	17	0.3271448682
PDGFB	resistance	18	0.3269110402
BCL9L	resistance	19	0.3237691694
EGFR	resistance	20	0.3184437197
