gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.474083839
MDM4	sensitivity	2	-0.4194384804
MYB	sensitivity	3	-0.4024488677
UBTF	sensitivity	4	-0.3810774577
TYK2	sensitivity	5	-0.373933953
FLI1	sensitivity	6	-0.3646055246
DNMT1	sensitivity	7	-0.3558548582
STAT5B	sensitivity	8	-0.3534244408
EZH1	sensitivity	9	-0.3509783061
BCL2	sensitivity	10	-0.3432749416
RPS15	sensitivity	11	-0.338688554
BRD4	sensitivity	12	-0.3374286321
PIK3CG	sensitivity	13	-0.329867776
TERT	sensitivity	14	-0.3269024198
BTK	sensitivity	15	-0.3228572657
EWSR1	sensitivity	16	-0.3143476149
ELL	sensitivity	17	-0.3101031538
CHD4	sensitivity	18	-0.3090731942
PRCC	sensitivity	19	-0.2988214022
CD79B	sensitivity	20	-0.2977835938
ABCC3	resistance	1	0.5291756237
MET	resistance	2	0.5077974582
ARHGEF28	resistance	3	0.4686185711
SQSTM1	resistance	4	0.4563306277
LMNA	resistance	5	0.4434092783
KLF5	resistance	6	0.4406983906
NQO1	resistance	7	0.4355370306
EGFR	resistance	8	0.4353458405
PPARG	resistance	9	0.422761134
GATA6	resistance	10	0.4215512098
YAP1	resistance	11	0.4209099396
RRAS	resistance	12	0.4177698581
WWTR1	resistance	13	0.41761062
AXL	resistance	14	0.4155622486
BCL9L	resistance	15	0.4091653261
FOLR1	resistance	16	0.4054052209
PDGFB	resistance	17	0.4047371994
LASP1	resistance	18	0.3934326822
ERBB2	resistance	19	0.3827473718
HFE	resistance	20	0.3752499665
