gene_symbol	direction	rank_in_direction	rho
TACSTD2	sensitivity	1	-0.3037755596
MST1R	sensitivity	2	-0.2825478949
GRB7	sensitivity	3	-0.2810275463
KLF5	sensitivity	4	-0.2636738041
ERBB2	sensitivity	5	-0.2256373029
FGFR3	sensitivity	6	-0.2170323993
EGFR	sensitivity	7	-0.1890000187
FGFR2	sensitivity	8	-0.1882197183
ERBB3	sensitivity	9	-0.1877066788
TNFSF13	sensitivity	10	-0.1825086995
PDGFB	sensitivity	11	-0.180899118
MECOM	sensitivity	12	-0.1737298201
ALDH1A3	sensitivity	13	-0.17024784
MYCL	sensitivity	14	-0.165131449
FOLR1	sensitivity	15	-0.1583429372
STAT6	sensitivity	16	-0.1569428784
PPARG	sensitivity	17	-0.1524475922
MPL	sensitivity	18	-0.1493916332
SYK	sensitivity	19	-0.1475632548
LYN	sensitivity	20	-0.1452396975
DDR2	resistance	1	0.3309882454
PRKACA	resistance	2	0.2988055302
GNB1	resistance	3	0.2796195718
PLCG1	resistance	4	0.2443964035
UBA1	resistance	5	0.2397947351
RRAGC	resistance	6	0.2373261519
RNASEH2A	resistance	7	0.2367066779
POU3F2	resistance	8	0.2353722841
FYN	resistance	9	0.2346402332
RAF1	resistance	10	0.2276048068
MYBL1	resistance	11	0.2259885459
NRAS	resistance	12	0.2234339151
RUNX1T1	resistance	13	0.2214385879
RHEB	resistance	14	0.2198183431
MAP2K2	resistance	15	0.219354259
EPOR	resistance	16	0.2149913847
CILK1	resistance	17	0.2145645909
E2F3	resistance	18	0.2140356824
NUF2	resistance	19	0.2122249819
JAZF1	resistance	20	0.2113585532
