gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.4624130918
UBTF	sensitivity	2	-0.4145970734
MYB	sensitivity	3	-0.4134093051
MDM4	sensitivity	4	-0.392635734
DNMT1	sensitivity	5	-0.3785412701
TYK2	sensitivity	6	-0.3721349084
FLI1	sensitivity	7	-0.3661763144
PIK3CG	sensitivity	8	-0.3568868906
BRD4	sensitivity	9	-0.3523688891
EZH1	sensitivity	10	-0.3471825919
STAT5B	sensitivity	11	-0.3436461086
BCL2	sensitivity	12	-0.3337286123
RPS15	sensitivity	13	-0.3335225098
EWSR1	sensitivity	14	-0.3332377006
BRD2	sensitivity	15	-0.3330244502
PRCC	sensitivity	16	-0.3277398001
MTHFD2	sensitivity	17	-0.3170469047
ELL	sensitivity	18	-0.3080511592
CHD4	sensitivity	19	-0.3045491548
JAK3	sensitivity	20	-0.302597509
ABCC3	resistance	1	0.4720911724
MET	resistance	2	0.4457778758
ARHGEF28	resistance	3	0.4327319324
KLF5	resistance	4	0.4211678448
GATA6	resistance	5	0.4185689877
EGFR	resistance	6	0.4154874744
NQO1	resistance	7	0.413435078
PDGFB	resistance	8	0.4107944469
LMNA	resistance	9	0.404346974
WWTR1	resistance	10	0.3939992955
SQSTM1	resistance	11	0.3917079079
FOLR1	resistance	12	0.3870475069
PPARG	resistance	13	0.3825117646
ERBB2	resistance	14	0.3757641359
ERBB3	resistance	15	0.3744107964
YAP1	resistance	16	0.37336376
RRAS	resistance	17	0.3638905071
ALDH1A3	resistance	18	0.3535318288
AXL	resistance	19	0.3464310428
BCL9L	resistance	20	0.3453476348
