gene_symbol	direction	rank_in_direction	rho
MYB	sensitivity	1	-0.3223386106
MYC	sensitivity	2	-0.3010882582
MTHFD2	sensitivity	3	-0.2768904223
LYN	sensitivity	4	-0.2732276996
MDM4	sensitivity	5	-0.2640214385
VAV1	sensitivity	6	-0.2532795899
DOT1L	sensitivity	7	-0.2374613696
REL	sensitivity	8	-0.2331263192
SYK	sensitivity	9	-0.224552909
PLCG2	sensitivity	10	-0.2195058967
OGT	sensitivity	11	-0.214462147
ARID3B	sensitivity	12	-0.2116841229
RAC2	sensitivity	13	-0.2090064312
EWSR1	sensitivity	14	-0.2070762657
CD79A	sensitivity	15	-0.2020036528
UBR5	sensitivity	16	-0.1949764933
RPS15	sensitivity	17	-0.1939543351
JAK3	sensitivity	18	-0.1883800835
PIK3C2B	sensitivity	19	-0.1855461359
SET	sensitivity	20	-0.1798508036
RHEB	resistance	1	0.3825048356
WWTR1	resistance	2	0.3815284282
IL6ST	resistance	3	0.3678584931
CDH2	resistance	4	0.3675049264
ACVR1	resistance	5	0.3420609789
AXL	resistance	6	0.3407533667
SQSTM1	resistance	7	0.334597392
ABL2	resistance	8	0.3327758839
FSTL1	resistance	9	0.3319763587
RRAS	resistance	10	0.3229716003
LMNA	resistance	11	0.3226980435
FGF1	resistance	12	0.3208557997
MET	resistance	13	0.317374264
CD276	resistance	14	0.299361955
ARHGEF28	resistance	15	0.2970092512
AFF4	resistance	16	0.2926381782
JUN	resistance	17	0.2926309581
GNA11	resistance	18	0.2925901505
MYBL1	resistance	19	0.2898627324
TFE3	resistance	20	0.2778753945
