gene_symbol	direction	rank_in_direction	rho
CXCR4	sensitivity	1	-0.216070467
SMYD3	sensitivity	2	-0.2004540689
CRTC1	sensitivity	3	-0.1874477791
AR	sensitivity	4	-0.1863683821
BCL2	sensitivity	5	-0.1855689511
H3-3A	sensitivity	6	-0.1846629135
CD79A	sensitivity	7	-0.1823243165
POU2F2	sensitivity	8	-0.176938343
KAT7	sensitivity	9	-0.1711473526
PPM1D	sensitivity	10	-0.1706185807
E2F3	sensitivity	11	-0.1619629072
GAB2	sensitivity	12	-0.1600423918
VAV1	sensitivity	13	-0.1599689487
PIK3C2B	sensitivity	14	-0.159229358
AKT2	sensitivity	15	-0.1576467924
ADARB2	sensitivity	16	-0.1569289183
RSPO2	sensitivity	17	-0.1565662355
IDH2	sensitivity	18	-0.154408158
RET	sensitivity	19	-0.1527232334
XBP1	sensitivity	20	-0.1489059296
ERC1	resistance	1	0.2382826388
CLIP1	resistance	2	0.2242533065
SGK1	resistance	3	0.223228014
TIGAR	resistance	4	0.2185943217
MAP3K13	resistance	5	0.2022308926
HRAS	resistance	6	0.1695722873
GREM1	resistance	7	0.1659136354
ERBB3	resistance	8	0.1646798342
MET	resistance	9	0.1561212291
ARHGEF28	resistance	10	0.1558084661
PDCD1LG2	resistance	11	0.1474062636
HFE	resistance	12	0.1456912962
MCL1	resistance	13	0.1450620201
IQGAP1	resistance	14	0.1440584784
FGF1	resistance	15	0.1432668922
WWTR1	resistance	16	0.1404665794
PPARG	resistance	17	0.1391630253
HSD3B1	resistance	18	0.137040404
LTK	resistance	19	0.1331230246
FURIN	resistance	20	0.1289761025
