gene_symbol	direction	rank_in_direction	rho
TACSTD2	sensitivity	1	-0.245918128
GRB7	sensitivity	2	-0.2188333964
MST1R	sensitivity	3	-0.2060060965
MYCL	sensitivity	4	-0.188615761
ERBB3	sensitivity	5	-0.1760320214
PIK3C2B	sensitivity	6	-0.1756032874
KLF5	sensitivity	7	-0.1669907349
SYK	sensitivity	8	-0.1593932421
TNFSF13	sensitivity	9	-0.1524528807
FGFR3	sensitivity	10	-0.1491302203
LCK	sensitivity	11	-0.1421001728
FGFR2	sensitivity	12	-0.1391118234
CACNA1D	sensitivity	13	-0.1330059317
ERBB2	sensitivity	14	-0.1317714597
REL	sensitivity	15	-0.131245363
STAT6	sensitivity	16	-0.1264037209
LYN	sensitivity	17	-0.1212486372
BCR	sensitivity	18	-0.1193265923
PDGFB	sensitivity	19	-0.1090315196
CARD11	sensitivity	20	-0.1084781775
DDR2	resistance	1	0.2436197827
FGFR1	resistance	2	0.2217921216
PDGFRB	resistance	3	0.2055269438
RHOA	resistance	4	0.2015391765
PRKACA	resistance	5	0.1953241369
FGF2	resistance	6	0.1931813267
GNB1	resistance	7	0.1844489367
MYBL1	resistance	8	0.1843449421
RHEB	resistance	9	0.1780861177
NUF2	resistance	10	0.1746043619
CDK4	resistance	11	0.1736557685
RRAGC	resistance	12	0.1711479081
TFE3	resistance	13	0.1666114454
CDH2	resistance	14	0.1627438724
AKT3	resistance	15	0.1614793146
ETV1	resistance	16	0.1521661711
ABL2	resistance	17	0.1511037147
POU3F2	resistance	18	0.1500088407
NRAS	resistance	19	0.1496981981
RAF1	resistance	20	0.1495161625
