gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.4157226081
MYB	sensitivity	2	-0.3949164829
UBTF	sensitivity	3	-0.3724150639
EWSR1	sensitivity	4	-0.3583051257
MDM4	sensitivity	5	-0.3527072053
DNMT1	sensitivity	6	-0.3512875044
TYK2	sensitivity	7	-0.3458795299
RPS15	sensitivity	8	-0.3253571155
CAD	sensitivity	9	-0.3228597309
EZH1	sensitivity	10	-0.3187012537
BCL2	sensitivity	11	-0.3142323508
PIK3CG	sensitivity	12	-0.3129055342
CHD4	sensitivity	13	-0.3113738494
TERT	sensitivity	14	-0.3092384233
STAT5B	sensitivity	15	-0.3019635709
MYC	sensitivity	16	-0.2988771568
FLI1	sensitivity	17	-0.2945192339
BRD2	sensitivity	18	-0.2917305789
CD79A	sensitivity	19	-0.290303993
BTK	sensitivity	20	-0.2900395997
ABCC3	resistance	1	0.4156914702
GATA6	resistance	2	0.4088753173
LMNA	resistance	3	0.4023800706
SQSTM1	resistance	4	0.3955365707
EGFR	resistance	5	0.3930805823
ARHGEF28	resistance	6	0.3891341313
YAP1	resistance	7	0.3887498411
MET	resistance	8	0.388361565
NQO1	resistance	9	0.3876910037
RRAS	resistance	10	0.3801258593
ERBB2	resistance	11	0.3754183147
AXL	resistance	12	0.372125427
WWTR1	resistance	13	0.3704232101
BCL9L	resistance	14	0.3657148609
PDGFB	resistance	15	0.3607109609
CLIP1	resistance	16	0.3593866118
FOLR1	resistance	17	0.3593109734
ALDH1A3	resistance	18	0.3538592091
KLF5	resistance	19	0.3531088498
IL6ST	resistance	20	0.3363332956
