gene_symbol	direction	rank_in_direction	rho
YAP1	sensitivity	1	-0.1656526813
HMGA2	sensitivity	2	-0.1561957949
HFE	sensitivity	3	-0.1525014367
FLT4	sensitivity	4	-0.1474047952
RPS6KA4	sensitivity	5	-0.1471778422
CD276	sensitivity	6	-0.1431077995
RRAS	sensitivity	7	-0.1404893431
EPHB4	sensitivity	8	-0.1398518577
ID1	sensitivity	9	-0.1349956237
FGFR4	sensitivity	10	-0.1332430326
AXL	sensitivity	11	-0.1330043243
AKT1S1	sensitivity	12	-0.1300944838
FGF1	sensitivity	13	-0.1296892323
ETV4	sensitivity	14	-0.1270001886
ERBB2	sensitivity	15	-0.1269289797
NRG1	sensitivity	16	-0.1260417422
FOLR1	sensitivity	17	-0.1221804899
FURIN	sensitivity	18	-0.122098233
NQO1	sensitivity	19	-0.1215565195
MERTK	sensitivity	20	-0.1187130772
BRAF	resistance	1	0.1883719744
FYN	resistance	2	0.1873746577
TSHR	resistance	3	0.1774379178
IRF4	resistance	4	0.1565059517
EZH1	resistance	5	0.1544236765
BTK	resistance	6	0.1501032377
STAT5B	resistance	7	0.1404580996
CD28	resistance	8	0.1376778988
MSI2	resistance	9	0.1287640676
NTRK2	resistance	10	0.1243100435
RAC2	resistance	11	0.1232952988
PIK3CG	resistance	12	0.1231528467
BCL2	resistance	13	0.1226617598
STAT5A	resistance	14	0.1220068837
GABRA6	resistance	15	0.1205693897
MYB	resistance	16	0.1202490535
CHD4	resistance	17	0.1194800204
CARD11	resistance	18	0.1193203351
FLI1	resistance	19	0.1177154859
MDM4	resistance	20	0.116786069
