gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.2604971851
PIK3CG	sensitivity	2	-0.218826082
FLI1	sensitivity	3	-0.2116708434
TYK2	sensitivity	4	-0.2104242319
MYB	sensitivity	5	-0.2091212102
MDM4	sensitivity	6	-0.2038877244
UBR5	sensitivity	7	-0.2001691386
EZH1	sensitivity	8	-0.1995318117
RAC2	sensitivity	9	-0.1926930693
BRD4	sensitivity	10	-0.1920011908
CXCR4	sensitivity	11	-0.1900374242
POU2F2	sensitivity	12	-0.1892750271
STAT5B	sensitivity	13	-0.1889156842
BRD2	sensitivity	14	-0.187820066
BTK	sensitivity	15	-0.1868210415
ELL	sensitivity	16	-0.1837283877
CD79B	sensitivity	17	-0.181488568
MYC	sensitivity	18	-0.1812465085
UBTF	sensitivity	19	-0.1792385645
MLLT10	sensitivity	20	-0.1790519392
KLF5	resistance	1	0.2615013506
MET	resistance	2	0.2543919611
LMNA	resistance	3	0.246266645
BCL9L	resistance	4	0.2450054358
ERBB2	resistance	5	0.2446327684
ALDH1A3	resistance	6	0.2426380539
NQO1	resistance	7	0.2382062344
ABCC3	resistance	8	0.2328194424
SRC	resistance	9	0.2284263982
PPARG	resistance	10	0.2254408254
EGFR	resistance	11	0.2250627338
YES1	resistance	12	0.2243063223
YAP1	resistance	13	0.2224082584
PDGFB	resistance	14	0.2217681198
CD276	resistance	15	0.2212820113
WWTR1	resistance	16	0.2175493605
FSTL1	resistance	17	0.2134535089
CCND1	resistance	18	0.2063879325
GATA6	resistance	19	0.2045620927
ID1	resistance	20	0.1989742402
