gene_symbol	direction	rank_in_direction	rho
MYCL	sensitivity	1	-0.2570237289
SYK	sensitivity	2	-0.2462808104
PIK3C2B	sensitivity	3	-0.2407127291
REL	sensitivity	4	-0.2393572581
GRB7	sensitivity	5	-0.2311728071
TACSTD2	sensitivity	6	-0.2141527636
MYB	sensitivity	7	-0.212583307
MYCN	sensitivity	8	-0.195054448
MST1R	sensitivity	9	-0.1901711785
FGFR3	sensitivity	10	-0.172059754
KLF5	sensitivity	11	-0.1689845267
CACNA1D	sensitivity	12	-0.1647486753
BCR	sensitivity	13	-0.1617238311
LYN	sensitivity	14	-0.1612464453
ERBB3	sensitivity	15	-0.1550597263
LCK	sensitivity	16	-0.149848869
VAV1	sensitivity	17	-0.1497826416
H3-3A	sensitivity	18	-0.1400216078
MYC	sensitivity	19	-0.1384616603
FGFR2	sensitivity	20	-0.1377668422
FGFR1	resistance	1	0.3124344494
ETV5	resistance	2	0.3034309852
RHOA	resistance	3	0.2878379919
FGF2	resistance	4	0.2776180983
DDR2	resistance	5	0.2770389475
IL6ST	resistance	6	0.2741972486
AXL	resistance	7	0.2739911593
FSTL1	resistance	8	0.2728345582
ABL2	resistance	9	0.2704165989
TFE3	resistance	10	0.2662982546
WWTR1	resistance	11	0.2632674934
AFF4	resistance	12	0.2561938378
ETV1	resistance	13	0.2559621755
CDH2	resistance	14	0.2548727375
FGF5	resistance	15	0.2481249649
AKT3	resistance	16	0.2476955745
PAK3	resistance	17	0.2398072605
MYBL1	resistance	18	0.231695212
PDGFRB	resistance	19	0.231607326
MAP4K4	resistance	20	0.2256548678
