gene_symbol	direction	rank_in_direction	rho
AURKB	sensitivity	1	-0.2912283746
TERT	sensitivity	2	-0.2693519999
TYMS	sensitivity	3	-0.2591303075
MYC	sensitivity	4	-0.2517607159
EWSR1	sensitivity	5	-0.2489973947
CAD	sensitivity	6	-0.2475985599
DNMT1	sensitivity	7	-0.2310116865
BUB1B	sensitivity	8	-0.2267492243
RPS15	sensitivity	9	-0.2185264158
MYB	sensitivity	10	-0.2086081681
ATIC	sensitivity	11	-0.2057048155
MTHFD2	sensitivity	12	-0.2023348943
NUF2	sensitivity	13	-0.1988960912
PIK3CG	sensitivity	14	-0.1970630906
TOP1	sensitivity	15	-0.1954290575
USP1	sensitivity	16	-0.1895446405
ELK4	sensitivity	17	-0.1891529164
MEF2B	sensitivity	18	-0.1862580874
RAC2	sensitivity	19	-0.1833556651
LYN	sensitivity	20	-0.1803068176
CANT1	resistance	1	0.2699094663
SQSTM1	resistance	2	0.2658966461
ABCC3	resistance	3	0.2582610183
COL1A1	resistance	4	0.2441860082
GATA6	resistance	5	0.2414908713
RRAS	resistance	6	0.2404696891
MET	resistance	7	0.2378965598
CD276	resistance	8	0.236964564
BCL2L2	resistance	9	0.2336880768
ID1	resistance	10	0.2312142116
IL6ST	resistance	11	0.2310878692
GNA11	resistance	12	0.2295104262
BCL9L	resistance	13	0.2290058778
GRB7	resistance	14	0.2261063551
CCND1	resistance	15	0.2253595027
MAFB	resistance	16	0.2223062967
AFF4	resistance	17	0.2192271099
ACVR1	resistance	18	0.2171910212
JUN	resistance	19	0.2162093778
ARHGEF28	resistance	20	0.2155331093
