gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.408199714
MYB	sensitivity	2	-0.3874658219
UBTF	sensitivity	3	-0.3824496226
MDM4	sensitivity	4	-0.3789529029
DNMT1	sensitivity	5	-0.3484794683
STAT5B	sensitivity	6	-0.321680051
H3-3A	sensitivity	7	-0.3211333322
CHD4	sensitivity	8	-0.3185651196
EWSR1	sensitivity	9	-0.3035318251
BCL2	sensitivity	10	-0.298367745
PPM1D	sensitivity	11	-0.2952717589
BRD2	sensitivity	12	-0.2939425812
MTHFD2	sensitivity	13	-0.2831292191
CAD	sensitivity	14	-0.2798617842
PRCC	sensitivity	15	-0.2769844303
TYK2	sensitivity	16	-0.2763438894
SETD1A	sensitivity	17	-0.2710713899
EZH1	sensitivity	18	-0.2679657286
TERT	sensitivity	19	-0.2670664925
BRD4	sensitivity	20	-0.2618708619
AXL	resistance	1	0.4027966054
YAP1	resistance	2	0.4025044556
RRAS	resistance	3	0.390917396
ARHGEF28	resistance	4	0.3861203662
LMNA	resistance	5	0.3852554446
WWTR1	resistance	6	0.3831736734
MET	resistance	7	0.3818602897
GATA6	resistance	8	0.3769599534
EGFR	resistance	9	0.3673367477
BCL9L	resistance	10	0.3583579167
ABCC3	resistance	11	0.3487533082
SQSTM1	resistance	12	0.346470115
CLIP1	resistance	13	0.3434424961
IL6ST	resistance	14	0.3384081517
ALDH1A3	resistance	15	0.3360588322
PDGFB	resistance	16	0.3313013832
ERBB2	resistance	17	0.330384914
FOLR1	resistance	18	0.3266302913
LASP1	resistance	19	0.3266012916
FSTL1	resistance	20	0.319139143
