gene_symbol	direction	rank_in_direction	rho
MYB	sensitivity	1	-0.4065805932
DOT1L	sensitivity	2	-0.3749000296
MDM4	sensitivity	3	-0.3280076597
UBTF	sensitivity	4	-0.3278284424
VAV1	sensitivity	5	-0.3169982397
BRD4	sensitivity	6	-0.3056770896
DNMT1	sensitivity	7	-0.2945383537
H3-3A	sensitivity	8	-0.2906767376
TERT	sensitivity	9	-0.2868804344
PIK3CG	sensitivity	10	-0.2854403075
BUB1B	sensitivity	11	-0.2848081946
EWSR1	sensitivity	12	-0.2834640999
MTHFD2	sensitivity	13	-0.2796211999
REL	sensitivity	14	-0.27866078
FLI1	sensitivity	15	-0.2736387536
TYK2	sensitivity	16	-0.2731994775
CAD	sensitivity	17	-0.273055478
EZH1	sensitivity	18	-0.2721588974
ARID3B	sensitivity	19	-0.2686421244
CXCR4	sensitivity	20	-0.2669264724
WWTR1	resistance	1	0.4207616162
LMNA	resistance	2	0.414593857
MET	resistance	3	0.4083416887
SQSTM1	resistance	4	0.3951390121
ARHGEF28	resistance	5	0.3904980803
NQO1	resistance	6	0.3754480675
RRAS	resistance	7	0.3739116043
ABCC3	resistance	8	0.3632700334
ACVR1	resistance	9	0.3596103713
YAP1	resistance	10	0.3570966807
AXL	resistance	11	0.3538081863
GATA6	resistance	12	0.3506058658
FGF1	resistance	13	0.3504203389
BCL9L	resistance	14	0.337791366
IL6ST	resistance	15	0.3293940475
CCND1	resistance	16	0.3259662642
HFE	resistance	17	0.3249792273
PDGFB	resistance	18	0.3248001793
LASP1	resistance	19	0.320428698
ERBB2	resistance	20	0.3145688033
