gene_symbol	direction	rank_in_direction	rho
UBTF	sensitivity	1	-0.3468163733
DOT1L	sensitivity	2	-0.3349798231
DNMT1	sensitivity	3	-0.2899222952
TYK2	sensitivity	4	-0.267156045
CAD	sensitivity	5	-0.2663891057
MDM4	sensitivity	6	-0.2653028117
BRD4	sensitivity	7	-0.2604110582
BCL2	sensitivity	8	-0.2585238234
FLI1	sensitivity	9	-0.2558025729
EWSR1	sensitivity	10	-0.2549882776
PIK3CG	sensitivity	11	-0.2523369555
UBR5	sensitivity	12	-0.2501383091
MLLT10	sensitivity	13	-0.2482005609
PPM1D	sensitivity	14	-0.2452518437
BUB1B	sensitivity	15	-0.244753844
MYB	sensitivity	16	-0.244667563
USP1	sensitivity	17	-0.2404877816
SETD1A	sensitivity	18	-0.2389447245
STAT5B	sensitivity	19	-0.2342946494
CXCR4	sensitivity	20	-0.2331999045
ALDH1A3	resistance	1	0.3568738537
MET	resistance	2	0.3503757877
ABCC3	resistance	3	0.3314368895
ERBB3	resistance	4	0.3284579187
SQSTM1	resistance	5	0.3230207842
ERBB2	resistance	6	0.3213418871
GATA6	resistance	7	0.317735104
KLF5	resistance	8	0.3127073523
PDGFB	resistance	9	0.3058643775
NQO1	resistance	10	0.2982374655
LMNA	resistance	11	0.296104151
ARHGEF28	resistance	12	0.288412755
EGFR	resistance	13	0.2865316707
WWTR1	resistance	14	0.2796240167
BCL9L	resistance	15	0.2777391248
CCND1	resistance	16	0.2700711188
MST1R	resistance	17	0.269095993
GRB7	resistance	18	0.2687895212
TACSTD2	resistance	19	0.2660072116
CLIP1	resistance	20	0.2645198056
