gene_symbol	direction	rank_in_direction	rho
FGFR4	sensitivity	1	-0.109805916
CTNNB1	sensitivity	2	-0.1096861157
HMGA2	sensitivity	3	-0.1053406532
ETV4	sensitivity	4	-0.1026727907
GSTO1	sensitivity	5	-0.09697066357
CCNB3	sensitivity	6	-0.09130751818
PAX8	sensitivity	7	-0.08903054505
FURIN	sensitivity	8	-0.08658852578
FGF10	sensitivity	9	-0.07721054025
MST1R	sensitivity	10	-0.07696048566
FGF3	sensitivity	11	-0.07559908375
TIGAR	sensitivity	12	-0.06982658558
SGK1	sensitivity	13	-0.06827589854
CLIP1	sensitivity	14	-0.06676881168
YAP1	sensitivity	15	-0.06609544448
ETV5	sensitivity	16	-0.06356529726
ARHGEF28	sensitivity	17	-0.06262030509
H3C2	sensitivity	18	-0.06195649501
ERBB3	sensitivity	19	-0.0616607629
EGFL7	sensitivity	20	-0.06081487287
PIK3CA	resistance	1	0.09975993206
CSF3R	resistance	2	0.09579112449
NUP214	resistance	3	0.08730699987
GNAQ	resistance	4	0.08342074278
BAALC	resistance	5	0.07895385521
BRD3	resistance	6	0.07817109359
ARAF	resistance	7	0.07727020497
IDH2	resistance	8	0.07722765623
SETBP1	resistance	9	0.07227152056
PDK1	resistance	10	0.07226754581
POU3F4	resistance	11	0.07192245215
BRAF	resistance	12	0.06786353554
LMO2	resistance	13	0.06416041213
AURKC	resistance	14	0.06405451376
RSPO2	resistance	15	0.06377253565
UCHL1	resistance	16	0.06177041319
LMO1	resistance	17	0.06097907819
ELN	resistance	18	0.0595362832
KDM5A	resistance	19	0.05898797235
ERG	resistance	20	0.05849680122
