gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.2339384583
E2F3	sensitivity	2	-0.1867084934
RPS15	sensitivity	3	-0.1840608841
REV3L	sensitivity	4	-0.1829557153
UBTF	sensitivity	5	-0.181472251
BRD4	sensitivity	6	-0.1726262191
FLI1	sensitivity	7	-0.1691389251
MDM4	sensitivity	8	-0.169011671
MAP3K7	sensitivity	9	-0.1681872363
HDAC2	sensitivity	10	-0.1673004239
BRD2	sensitivity	11	-0.1636793986
TRIM27	sensitivity	12	-0.1630562941
CAD	sensitivity	13	-0.1627046833
DNMT1	sensitivity	14	-0.1596515017
EWSR1	sensitivity	15	-0.1572645626
SETD1A	sensitivity	16	-0.1546772534
RAF1	sensitivity	17	-0.1539695349
TYK2	sensitivity	18	-0.1520034334
USP1	sensitivity	19	-0.1489215589
MLLT10	sensitivity	20	-0.1472979271
KLF5	resistance	1	0.2106147628
MET	resistance	2	0.2089194989
ABCC3	resistance	3	0.2070886861
PDGFB	resistance	4	0.1994187368
ERBB2	resistance	5	0.188438644
FOLR1	resistance	6	0.1852348196
GRB7	resistance	7	0.1845307711
EGFR	resistance	8	0.1828552424
ARHGEF28	resistance	9	0.1814702868
SRC	resistance	10	0.1722724611
RRAS	resistance	11	0.1638935926
ALDH1A3	resistance	12	0.1619186462
ERBB3	resistance	13	0.1616031375
COL1A1	resistance	14	0.1611325464
GATA6	resistance	15	0.1603198371
FGFR4	resistance	16	0.1573087568
MECOM	resistance	17	0.1534952262
FGFR2	resistance	18	0.1471636679
FGFR3	resistance	19	0.1468376477
RRAS2	resistance	20	0.1465963508
