gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.4112564995
MYB	sensitivity	2	-0.4024752406
UBTF	sensitivity	3	-0.3453957396
MDM4	sensitivity	4	-0.3370936882
BCL2	sensitivity	5	-0.3324047051
MTHFD2	sensitivity	6	-0.3306408074
CHD4	sensitivity	7	-0.3209868631
CAD	sensitivity	8	-0.3127630309
ARID3B	sensitivity	9	-0.3125980625
DNMT1	sensitivity	10	-0.3112043224
BRD4	sensitivity	11	-0.3017610742
TERT	sensitivity	12	-0.3011603061
EWSR1	sensitivity	13	-0.2990180589
STAT5B	sensitivity	14	-0.2964145285
MYC	sensitivity	15	-0.2938914611
RPS15	sensitivity	16	-0.2917618318
VAV1	sensitivity	17	-0.2875089674
PRCC	sensitivity	18	-0.2791414116
BUB1B	sensitivity	19	-0.2790842403
FLI1	sensitivity	20	-0.2781992214
ABCC3	resistance	1	0.4396126646
LMNA	resistance	2	0.4395400229
YAP1	resistance	3	0.4202699172
MET	resistance	4	0.417815152
SQSTM1	resistance	5	0.4155039801
NQO1	resistance	6	0.4115685991
BCL9L	resistance	7	0.4083681166
RRAS	resistance	8	0.405540277
WWTR1	resistance	9	0.3971299625
ERBB2	resistance	10	0.3916390952
ALDH1A3	resistance	11	0.386726884
ARHGEF28	resistance	12	0.3865194518
PDGFB	resistance	13	0.3844624475
LASP1	resistance	14	0.3841209088
EGFR	resistance	15	0.3727675131
AXL	resistance	16	0.372203426
HFE	resistance	17	0.3704181118
KLF5	resistance	18	0.3645849867
GATA6	resistance	19	0.3620301866
ERBB3	resistance	20	0.3553951395
