gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.3255407746
UBR5	sensitivity	2	-0.3133634531
CXCR4	sensitivity	3	-0.2956627626
MDM4	sensitivity	4	-0.2880458006
MEF2D	sensitivity	5	-0.273498074
PIK3CG	sensitivity	6	-0.272657944
BRD2	sensitivity	7	-0.2591729837
PRCC	sensitivity	8	-0.2544804724
ELL	sensitivity	9	-0.254028049
UBTF	sensitivity	10	-0.2532253538
TYK2	sensitivity	11	-0.2511827504
MYB	sensitivity	12	-0.2491498263
RAC2	sensitivity	13	-0.239376442
BRD4	sensitivity	14	-0.2393690961
FLI1	sensitivity	15	-0.2393391237
RAF1	sensitivity	16	-0.2323959842
CD79A	sensitivity	17	-0.2322020051
CD79B	sensitivity	18	-0.2297869888
CREB1	sensitivity	19	-0.2294243453
TSHR	sensitivity	20	-0.2274285031
MET	resistance	1	0.3429637022
HFE	resistance	2	0.307364845
ABCC3	resistance	3	0.3037432966
NQO1	resistance	4	0.2832671371
EGFR	resistance	5	0.2785062766
ERBB3	resistance	6	0.2754460444
AXL	resistance	7	0.2723174518
KLF5	resistance	8	0.2717236406
ARHGEF28	resistance	9	0.2669817182
LMNA	resistance	10	0.2648017774
PIK3CB	resistance	11	0.2493753034
PPARG	resistance	12	0.2481019495
FOLR1	resistance	13	0.2476484234
ALDH1A3	resistance	14	0.2472209553
GATA6	resistance	15	0.2468464264
FGF1	resistance	16	0.2448774576
SQSTM1	resistance	17	0.244585232
IRS2	resistance	18	0.2444143741
PDGFB	resistance	19	0.2397336619
RRAS	resistance	20	0.2361790569
