gene_symbol	direction	rank_in_direction	rho
TSHR	sensitivity	1	-0.1852641748
NSD2	sensitivity	2	-0.1723158351
EZHIP	sensitivity	3	-0.1689291772
OGA	sensitivity	4	-0.167887499
MYBL1	sensitivity	5	-0.167077684
BRD9	sensitivity	6	-0.1558103378
NADK	sensitivity	7	-0.1545351327
POU2F2	sensitivity	8	-0.1541758183
SOS1	sensitivity	9	-0.1532116046
CREB1	sensitivity	10	-0.1488631927
CILK1	sensitivity	11	-0.1469306013
SETD1A	sensitivity	12	-0.1454382249
RELA	sensitivity	13	-0.1437690424
TAF1	sensitivity	14	-0.1427481785
IDH2	sensitivity	15	-0.1419223897
CD28	sensitivity	16	-0.1403389429
KIAA1549	sensitivity	17	-0.1368695727
SF3B2	sensitivity	18	-0.1366707798
MAP3K14	sensitivity	19	-0.1365178033
HDAC7	sensitivity	20	-0.1364430099
GSTO1	resistance	1	0.1518178589
NQO1	resistance	2	0.1244545292
ETV4	resistance	3	0.1179012521
RPS15	resistance	4	0.1170031849
SGK1	resistance	5	0.1159681059
NAB2	resistance	6	0.09305509106
FOLH1	resistance	7	0.08916158593
RSPO2	resistance	8	0.08811056148
MAP2K2	resistance	9	0.08307957988
ITPKB	resistance	10	0.08113429615
ETV5	resistance	11	0.07871138458
PIK3CB	resistance	12	0.07377447535
WWTR1	resistance	13	0.07236039951
AKT1S1	resistance	14	0.07138622679
LMNA	resistance	15	0.06990829229
HGF	resistance	16	0.06840791528
TIGAR	resistance	17	0.06390874859
NR4A3	resistance	18	0.05874441039
HMGA1	resistance	19	0.05676784056
MYC	resistance	20	0.05415072865
