gene_symbol	direction	rank_in_direction	mean_rank
DOT1L	sensitivity	1	1
MDM4	sensitivity	2	3
MYB	sensitivity	3	3
UBTF	sensitivity	4	3
TYK2	sensitivity	5	5.5
DNMT1	sensitivity	6	6
FLI1	sensitivity	7	6.5
EZH1	sensitivity	8	9.5
STAT5B	sensitivity	9	9.5
BRD4	sensitivity	10	10.5
PIK3CG	sensitivity	11	10.5
BCL2	sensitivity	12	11
RPS15	sensitivity	13	12
EWSR1	sensitivity	14	15
ELL	sensitivity	15	17.5
PRCC	sensitivity	16	17.5
CHD4	sensitivity	17	18.5
ABCC3	resistance	1	1
MET	resistance	2	2
ARHGEF28	resistance	3	3
KLF5	resistance	4	5
EGFR	resistance	5	7
LMNA	resistance	6	7
NQO1	resistance	7	7
GATA6	resistance	8	7.5
SQSTM1	resistance	9	7.5
PPARG	resistance	10	11
WWTR1	resistance	11	11.5
PDGFB	resistance	12	12.5
YAP1	resistance	13	13.5
FOLR1	resistance	14	14
RRAS	resistance	15	14.5
AXL	resistance	16	16.5
ERBB2	resistance	17	16.5
BCL9L	resistance	18	17.5
