gene_symbol	direction	rank_in_direction	rho
MYB	sensitivity	1	-0.4236454446
DOT1L	sensitivity	2	-0.4229994642
UBTF	sensitivity	3	-0.3733229381
MDM4	sensitivity	4	-0.3601620033
DNMT1	sensitivity	5	-0.3552296806
FLI1	sensitivity	6	-0.3311674801
PIK3CG	sensitivity	7	-0.3289279527
RPS15	sensitivity	8	-0.3286144905
BCL2	sensitivity	9	-0.3125285399
PRCC	sensitivity	10	-0.3119829063
BRD2	sensitivity	11	-0.3093549221
TYK2	sensitivity	12	-0.3066845536
EWSR1	sensitivity	13	-0.3066298186
CHD4	sensitivity	14	-0.3031646407
BRD4	sensitivity	15	-0.3010553706
STAT5B	sensitivity	16	-0.2992835315
POU2F2	sensitivity	17	-0.29187625
H3-3A	sensitivity	18	-0.2901956027
SETD1A	sensitivity	19	-0.2888172025
CAD	sensitivity	20	-0.2856374445
ABCC3	resistance	1	0.4562225244
MET	resistance	2	0.4301987557
SQSTM1	resistance	3	0.4152652058
LMNA	resistance	4	0.4147424593
RRAS	resistance	5	0.4140979337
NQO1	resistance	6	0.4088055354
WWTR1	resistance	7	0.4034279222
ARHGEF28	resistance	8	0.4013494618
PDGFB	resistance	9	0.3981902362
EGFR	resistance	10	0.3946980219
YAP1	resistance	11	0.3895645971
GATA6	resistance	12	0.3773594627
FOLR1	resistance	13	0.3773232682
ERBB2	resistance	14	0.3725874996
KLF5	resistance	15	0.3669455853
CLIP1	resistance	16	0.3623779228
AXL	resistance	17	0.3567253256
BCL9L	resistance	18	0.3523971477
LASP1	resistance	19	0.350656308
HFE	resistance	20	0.341975299
