gene_symbol	direction	rank_in_direction	rho
ETV4	sensitivity	1	-0.4707061513
ETV5	sensitivity	2	-0.3038043132
GSTO1	sensitivity	3	-0.2867788076
FURIN	sensitivity	4	-0.2657330618
ERBB3	sensitivity	5	-0.2366988804
MGAM	sensitivity	6	-0.2229789065
HMGA1	sensitivity	7	-0.2175816402
HMGA2	sensitivity	8	-0.2162128222
CD74	sensitivity	9	-0.2120515872
NFE2	sensitivity	10	-0.2104700292
IRS2	sensitivity	11	-0.1931991852
RAC2	sensitivity	12	-0.1791709456
CTLA4	sensitivity	13	-0.1659679173
STAT5A	sensitivity	14	-0.1590207506
FES	sensitivity	15	-0.1576463957
ALDH1A3	sensitivity	16	-0.1575853607
SOX10	sensitivity	17	-0.1568804418
PPARG	sensitivity	18	-0.1506879364
IKBKE	sensitivity	19	-0.146090731
MST1R	sensitivity	20	-0.145093942
RAF1	resistance	1	0.2934233722
NSD2	resistance	2	0.288304712
FRS2	resistance	3	0.2768654233
USP1	resistance	4	0.2714756271
BUB1B	resistance	5	0.2702622425
DEK	resistance	6	0.2699990571
RNASEH2A	resistance	7	0.2688329685
SET	resistance	8	0.2656772037
TOP2A	resistance	9	0.2623333628
UCHL1	resistance	10	0.2615073021
MYBL1	resistance	11	0.2568146239
PRKACA	resistance	12	0.2545018004
EMSY	resistance	13	0.2535646484
BIRC5	resistance	14	0.2472107904
GNB1	resistance	15	0.2467124506
AKT2	resistance	16	0.2420005067
YY1	resistance	17	0.2389372692
MTOR	resistance	18	0.23689376
UBA1	resistance	19	0.2323394908
UBTF	resistance	20	0.2296092737
