gene_symbol	direction	rank_in_direction	rho
DOT1L	sensitivity	1	-0.4737209629
MYB	sensitivity	2	-0.4602815244
MDM4	sensitivity	3	-0.400859729
UBTF	sensitivity	4	-0.3929618845
MTHFD2	sensitivity	5	-0.3791871144
BRD4	sensitivity	6	-0.3612029049
DNMT1	sensitivity	7	-0.3598912766
BCL2	sensitivity	8	-0.343601518
PRCC	sensitivity	9	-0.34194828
CAD	sensitivity	10	-0.3381696356
TERT	sensitivity	11	-0.3326132232
TYK2	sensitivity	12	-0.3312917249
ARID3B	sensitivity	13	-0.3264913389
STAT5B	sensitivity	14	-0.3256742212
FLI1	sensitivity	15	-0.3253131535
RPS15	sensitivity	16	-0.3241617762
EZH1	sensitivity	17	-0.3240986066
H3-3A	sensitivity	18	-0.3228398982
EWSR1	sensitivity	19	-0.322025978
TRIM27	sensitivity	20	-0.3202208784
ABCC3	resistance	1	0.5186935689
MET	resistance	2	0.4950552784
LMNA	resistance	3	0.4866883001
ARHGEF28	resistance	4	0.4777399451
RRAS	resistance	5	0.4754182891
WWTR1	resistance	6	0.457040363
SQSTM1	resistance	7	0.4542717974
YAP1	resistance	8	0.4476299795
BCL9L	resistance	9	0.4463941755
NQO1	resistance	10	0.4463460611
AXL	resistance	11	0.4458158875
EGFR	resistance	12	0.4451940448
LASP1	resistance	13	0.4370362516
PDGFB	resistance	14	0.4335458397
ALDH1A3	resistance	15	0.4309299532
ERBB2	resistance	16	0.426109186
KLF5	resistance	17	0.4140624382
GATA6	resistance	18	0.4046925823
PPARG	resistance	19	0.400567582
FOLR1	resistance	20	0.3912071281
