gene_symbol	direction	rank_in_direction	rho
MYB	sensitivity	1	-0.4735739629
DOT1L	sensitivity	2	-0.4192856442
MDM4	sensitivity	3	-0.3837468845
BCL2	sensitivity	4	-0.3429004849
H3-3A	sensitivity	5	-0.3417841955
CHD4	sensitivity	6	-0.3404205718
UBTF	sensitivity	7	-0.3319882903
CXCR4	sensitivity	8	-0.3184053739
ARID3B	sensitivity	9	-0.3134137885
PPM1D	sensitivity	10	-0.3128673014
MTHFD2	sensitivity	11	-0.3079665078
MYC	sensitivity	12	-0.2956967535
IDH2	sensitivity	13	-0.2956852152
SETD1A	sensitivity	14	-0.2916958655
RPS15	sensitivity	15	-0.2891130609
STAT5B	sensitivity	16	-0.2869487096
MSI2	sensitivity	17	-0.2863199235
NADK	sensitivity	18	-0.2852764249
EZH1	sensitivity	19	-0.2842128484
DNMT1	sensitivity	20	-0.2811452983
WWTR1	resistance	1	0.4774158498
EGFR	resistance	2	0.4687013013
LMNA	resistance	3	0.4604893996
AXL	resistance	4	0.4586474549
HFE	resistance	5	0.4530954755
RRAS	resistance	6	0.4520142951
YAP1	resistance	7	0.4471624358
NQO1	resistance	8	0.4302059754
MET	resistance	9	0.4274948744
ABCC3	resistance	10	0.4262954433
SQSTM1	resistance	11	0.4127217533
CLIP1	resistance	12	0.4118279055
IL6ST	resistance	13	0.4072751147
ALDH1A3	resistance	14	0.406595702
FGF1	resistance	15	0.4025509987
BCL9L	resistance	16	0.3949778841
ARHGEF28	resistance	17	0.3924459356
FSTL1	resistance	18	0.3786515671
NRG1	resistance	19	0.377470509
RRAS2	resistance	20	0.3585698162
