name	cohort	stratum	n	events	affected	point	se	ci	deployed_point
Framework	GSE32646	all	115	27.0	True	0.4958	0.06454	[0.3729, 0.6316]	0.4811
DoxVariant	GSE25066	all	488	99.0	True	0.5543	0.02867	[0.4965, 0.6107]	0.5147
GGI	GSE25066	all	488	99.0	True	0.4694	0.02996	[0.4072, 0.527]	0.5085
RSlike	GSE25066	HR+	284	30.0	True	0.4542	0.06069	[0.34, 0.572]	0.5043
MammaPrint	METABRIC	all	399	151.0	True	0.534	0.02861	[0.4796, 0.5919]	0.4679
DLDA30_gse16446	GSE16446	all	114		False	0.4592	0.07045		
TIS_gse25066	GSE25066	all	488		False	0.5318	0.03328		
cytolytic_gse22226	GSE22226	all	124		False	0.5302	0.05829		
HRD_gse22226	GSE22226	all	124		False	0.5543	0.0585		
TGFBstrom_gse25066	GSE25066	all	488		False	0.4549	0.02972		
