signature	cohort	n_up	n_down	resolved_up	resolved_down	frac_up	frac_down	worst_frac	not_evaluable_trigger2
Framework	GSE16446	30	30	29	29	0.9667	0.9667	0.9667	no
Framework	GSE22226	30	30	30	30	1.0	1.0	1.0	no
Framework	GSE25066	30	30	27	28	0.9	0.9333	0.9	no
Framework	GSE32646	30	30	29	29	0.9667	0.9667	0.9667	no
DoxVariant	GSE16446	30	30	29	30	0.9667	1.0	0.9667	no
DoxVariant	GSE22226	30	30	30	30	1.0	1.0	1.0	no
DoxVariant	GSE25066	30	30	26	28	0.8667	0.9333	0.8667	no
DoxVariant	GSE32646	30	30	29	30	0.9667	1.0	0.9667	no
MammaPrint	GSE16446	52	18	50	17	0.9615	0.9444	0.9444	no
MammaPrint	GSE22226	52	18	52	17	1.0	0.9444	0.9444	no
MammaPrint	GSE25066	52	18	42	13	0.8077	0.7222	0.7222	no
MammaPrint	GSE32646	52	18	50	17	0.9615	0.9444	0.9444	no
GGI	GSE16446	35	6	35	6	1.0	1.0	1.0	no
GGI	GSE22226	35	6	34	6	0.9714	1.0	0.9714	no
GGI	GSE25066	35	6	33	6	0.9429	1.0	0.9429	no
GGI	GSE32646	35	6	35	6	1.0	1.0	1.0	no
RSlike	GSE16446	12	4	11	4	0.9167	1.0	0.9167	no
RSlike	GSE22226	12	4	12	4	1.0	1.0	1.0	no
RSlike	GSE25066	12	4	11	4	0.9167	1.0	0.9167	no
RSlike	GSE32646	12	4	11	4	0.9167	1.0	0.9167	no
DLDA30	GSE16446	23	3	23	3	1.0	1.0	1.0	no
DLDA30	GSE22226	23	3	22	3	0.9565	1.0	0.9565	no
DLDA30	GSE25066	23	3	22	3	0.9565	1.0	0.9565	no
DLDA30	GSE32646	23	3	23	3	1.0	1.0	1.0	no
TIS	GSE16446	18	0	18	0	1.0		1.0	no
TIS	GSE22226	18	0	18	0	1.0		1.0	no
TIS	GSE25066	18	0	16	0	0.8889		0.8889	no
TIS	GSE32646	18	0	18	0	1.0		1.0	no
cytolytic	GSE16446	2	0	2	0	1.0		1.0	no
cytolytic	GSE22226	2	0	2	0	1.0		1.0	no
cytolytic	GSE25066	2	0	2	0	1.0		1.0	no
cytolytic	GSE32646	2	0	2	0	1.0		1.0	no
HRD	GSE16446	9	0	9	0	1.0		1.0	no
HRD	GSE22226	9	0	9	0	1.0		1.0	no
HRD	GSE25066	9	0	8	0	0.8889		0.8889	no
HRD	GSE32646	9	0	9	0	1.0		1.0	no
TGFBstrom	GSE16446	12	0	12	0	1.0		1.0	no
TGFBstrom	GSE22226	12	0	12	0	1.0		1.0	no
TGFBstrom	GSE25066	12	0	12	0	1.0		1.0	no
TGFBstrom	GSE32646	12	0	12	0	1.0		1.0	no
CARBOPLATIN	GSE16446	30	30	29	29	0.9667	0.9667	0.9667	no
CARBOPLATIN	GSE22226	30	30	29	30	0.9667	1.0	0.9667	no
CARBOPLATIN	GSE25066	30	30	26	26	0.8667	0.8667	0.8667	no
CYCLOPHOSPHAMIDE	GSE16446	30	30	30	29	1.0	0.9667	0.9667	no
CYCLOPHOSPHAMIDE	GSE22226	30	30	30	30	1.0	1.0	1.0	no
CYCLOPHOSPHAMIDE	GSE25066	30	30	26	26	0.8667	0.8667	0.8667	no
FLUOROURACIL	GSE16446	30	30	30	30	1.0	1.0	1.0	no
FLUOROURACIL	GSE22226	30	30	30	30	1.0	1.0	1.0	no
FLUOROURACIL	GSE25066	30	30	29	30	0.9667	1.0	0.9667	no
PACLITAXEL	GSE16446	30	30	29	29	0.9667	0.9667	0.9667	no
PACLITAXEL	GSE22226	30	30	30	30	1.0	1.0	1.0	no
PACLITAXEL	GSE25066	30	30	28	29	0.9333	0.9667	0.9333	no
ETOPOSIDE	GSE16446	30	30	29	29	0.9667	0.9667	0.9667	no
ETOPOSIDE	GSE22226	30	30	30	30	1.0	1.0	1.0	no
ETOPOSIDE	GSE25066	30	30	27	28	0.9	0.9333	0.9	no
TOP2_POISON_CONSENSUS	GSE16446	18	23	17	22	0.9444	0.9565	0.9444	no
TOP2_POISON_CONSENSUS	GSE22226	18	23	18	23	1.0	1.0	1.0	no
TOP2_POISON_CONSENSUS	GSE25066	18	23	15	21	0.8333	0.913	0.8333	no
