patient_id	pam50_subtype	basal_score	her2_score	luma_score	lumb_score	normal_score
GSM1030079	Basal	0.610801	-0.040767	-0.357143	-0.125436	0.145819
GSM1030080	Her2	-0.223171	0.549303	-0.153484	0.229443	-0.417944
GSM1030081	LumA	-0.433101	-0.301045	0.628223	-0.181533	0.336411
GSM1030082	LumA	-0.308014	-0.435192	0.645470	-0.414111	0.460627
GSM1030083	Basal	0.482056	-0.127003	-0.358711	-0.085366	0.022474
GSM1030084	Basal	0.618815	0.132753	-0.620732	0.063415	-0.074042
GSM1030085	Basal	0.708885	0.011672	-0.586411	-0.168293	0.099303
GSM1030086	Basal	0.680836	0.197909	-0.674042	0.017247	-0.134669
GSM1030087	Her2	0.357317	0.410279	-0.726655	0.184843	-0.314634
GSM1030088	Basal	0.403136	0.289199	-0.354181	-0.145470	-0.056794
GSM1030089	Basal	0.647735	0.140941	-0.508885	-0.064634	0.018815
GSM1030090	Basal	0.705052	-0.058537	-0.595122	-0.163937	0.064808
GSM1030091	Her2	-0.277352	0.695122	-0.082753	0.220906	-0.407317
GSM1030092	Her2	-0.288502	0.355575	0.218815	0.060801	-0.107143
GSM1030093	Her2	-0.350174	0.704530	-0.093206	0.404530	-0.553310
GSM1030094	Her2	-0.092160	0.659233	-0.236585	0.327526	-0.434669
GSM1030095	Her2	-0.291650	0.442092	0.007492	0.365260	-0.368047
GSM1030096	Her2	-0.491986	0.591812	0.092683	0.366725	-0.434843
GSM1030097	Her2	-0.418990	0.578746	0.030662	0.324739	-0.416028
GSM1030098	LumA	-0.445296	-0.272300	0.676481	-0.184146	0.203136
GSM1030099	LumA	-0.549129	-0.497038	0.902265	-0.291986	0.474216
GSM1030100	LumA	-0.354181	-0.557143	0.787979	-0.286934	0.452439
GSM1030101	LumA	-0.594077	-0.482927	0.771777	-0.022997	0.293554
GSM1030102	LumA	-0.630836	0.174216	0.485540	0.198780	-0.109582
GSM1030103	LumA	-0.487456	-0.440244	0.727700	-0.154181	0.287108
GSM1030104	LumA	-0.459930	0.195470	0.405923	0.092160	-0.077875
GSM1030105	LumA	-0.370661	-0.245394	0.689229	-0.323359	0.327279
GSM1030106	LumA	-0.567770	-0.312544	0.855923	-0.199303	0.319338
GSM1030107	LumA	-0.611150	-0.356446	0.867247	-0.168118	0.349129
GSM1030108	LumA	-0.576593	-0.448016	0.887931	-0.195130	0.381201
GSM1030109	LumA	-0.521951	-0.415157	0.716028	-0.093902	0.296864
GSM1030110	LumA	-0.485366	-0.489895	0.868815	-0.329617	0.491812
GSM1030111	LumA	-0.644425	-0.396516	0.905749	-0.165505	0.416028
GSM1030112	LumA	-0.214983	0.148780	0.152091	-0.128571	-0.020209
GSM1030113	LumA	-0.668467	-0.304878	0.825784	-0.066899	0.204355
GSM1030114	LumA	-0.513240	-0.511498	0.837456	-0.280662	0.445993
GSM1030115	LumA	-0.535017	-0.503659	0.843902	-0.173868	0.401394
GSM1030116	LumA	-0.334146	-0.497213	0.798955	-0.429268	0.558362
GSM1030117	LumA	-0.456620	-0.523868	0.873693	-0.322125	0.505923
GSM1030118	LumB	-0.538153	0.194948	0.241115	0.393902	-0.291115
GSM1030119	Her2	-0.169861	0.627352	-0.328223	0.314286	-0.589373
GSM1030120	LumA	-0.685017	0.083972	0.604355	0.173868	-0.009756
GSM1030121	LumA	-0.675436	-0.251742	0.841986	-0.074390	0.228746
GSM1030122	LumA	-0.664663	0.150616	0.450194	0.362821	-0.319352
GSM1030123	LumA	-0.716376	-0.005749	0.649129	0.260453	-0.105749
GSM1030124	LumB	-0.682695	0.053400	0.415001	0.444880	-0.389912
GSM1030125	LumB	-0.431533	0.061847	0.213763	0.407317	-0.262195
GSM1030126	LumB	-0.650000	0.412021	0.188676	0.526132	-0.515331
GSM1030127	LumB	-0.566725	0.146690	0.233798	0.562718	-0.450871
GSM1030128	LumA	-0.592334	-0.102439	0.450523	0.205401	-0.088328
GSM1030129	LumB	-0.614835	0.104186	0.226491	0.514569	-0.412039
GSM1030130	LumA	-0.527549	-0.185548	0.473191	0.093471	-0.129013
GSM1030131	LumA	-0.785540	0.041289	0.454355	0.440244	-0.277352
GSM1030132	LumB	-0.732753	0.014460	0.373519	0.489895	-0.354530
GSM1030133	LumA	-0.747561	-0.069512	0.644425	0.232927	-0.108537
GSM1030134	LumB	-0.560976	0.252787	0.107491	0.623171	-0.543031
GSM1030135	LumA	-0.675033	0.118780	0.494902	0.332636	-0.263268
GSM1030136	LumA	-0.615157	-0.122125	0.532927	0.251916	-0.018641
GSM1030137	LumA	-0.316725	0.040767	0.321951	-0.145122	-0.069338
GSM1030138	LumA	-0.586585	-0.327178	0.669686	0.005226	0.072300
GSM1030139	LumA	-0.361324	-0.032753	0.318815	0.041638	-0.027003
GSM1030140	LumB	-0.436760	0.190418	0.150174	0.201394	-0.384843
GSM1030141	LumB	-0.348258	0.403833	-0.130836	0.694077	-0.602265
GSM1030142	LumB	-0.759756	0.146516	0.428571	0.517596	-0.346167
GSM1030143	LumA	-0.743554	0.023171	0.578223	0.248258	-0.167770
GSM1030144	LumB	-0.710279	0.033275	0.457840	0.466376	-0.305052
GSM1030145	LumA	-0.617710	-0.104186	0.483035	0.215776	-0.014896
GSM1030146	LumB	-0.192857	0.090244	-0.166725	0.608014	-0.502265
GSM1030147	LumA	-0.656736	0.104099	0.514221	0.339736	-0.231282
GSM1030148	LumA	-0.677700	-0.061150	0.587805	0.239547	-0.073519
GSM1030149	LumA	-0.381185	-0.600000	0.793206	-0.317596	0.586237
GSM1030150	LumA	-0.389651	-0.532514	0.777386	-0.314648	0.571976
GSM1030151	LumA	-0.358014	-0.574216	0.791812	-0.350871	0.575436
GSM1030152	LumA	-0.381882	-0.467770	0.778746	-0.328223	0.486934
GSM1030153	LumA	-0.238850	-0.399826	0.728571	-0.484321	0.659930
GSM1030154	LumA	-0.326481	-0.561150	0.802962	-0.434321	0.594774
GSM1030155	LumA	-0.211847	-0.630488	0.744948	-0.448432	0.694425
GSM1030156	Basal	0.741115	0.131533	-0.686934	-0.109408	-0.069686
GSM1030157	Normal	0.298084	-0.016551	-0.027700	-0.432753	0.395470
GSM1030158	Basal	0.621951	0.147213	-0.514808	-0.124913	0.092160
GSM1030159	Basal	0.518402	0.216124	-0.616752	0.003223	-0.170478
GSM1030160	Basal	0.437456	-0.004530	-0.198780	-0.306272	0.171777
GSM1030161	Basal	0.265854	0.198432	-0.545470	0.176307	-0.225087
GSM1030162	Basal	0.817944	0.055401	-0.695296	-0.136411	-0.022997
GSM1030163	Basal	0.755575	-0.088153	-0.505401	-0.310105	0.201045
GSM1030164	Basal	0.385192	0.195993	-0.494251	0.205749	-0.153484
GSM1030165	Normal	0.406446	-0.201220	0.033101	-0.590418	0.534321
GSM1030166	Basal	0.710627	-0.042509	-0.451394	-0.329617	0.223519
GSM1030167	Basal	0.766551	-0.008362	-0.649477	-0.076481	0.010453
GSM1030168	Basal	0.566899	0.127003	-0.444077	-0.204878	0.034669
GSM1030169	Basal	0.599652	0.147038	-0.642509	-0.052613	-0.112544
