q	top_n	universe	n_up	n_down	auroc	status
0.2	10	oncokb_all	10	10	0.521487	ok
0.2	10	oncokb_only	10	10	0.521487	ok
0.2	10	protein_coding	10	10	0.546727	ok
0.2	20	oncokb_all	20	20	0.47293	ok
0.2	20	oncokb_only	20	20	0.47293	ok
0.2	20	protein_coding	20	20	0.532809	ok
0.2	30	oncokb_all	30	30	0.493132	ok
0.2	30	oncokb_only	30	30	0.493132	ok
0.2	30	protein_coding	30	30	0.476773	ok
0.2	50	oncokb_all	50	50	0.496274	ok
0.2	50	oncokb_only	50	50	0.496274	ok
0.2	50	protein_coding	50	50	0.512295	ok
0.25	10	oncokb_all	10	10	0.506245	ok
0.25	10	oncokb_only	10	10	0.506245	ok
0.25	10	protein_coding	10	10	0.584638	ok
0.25	20	oncokb_all	20	20	0.512477	ok
0.25	20	oncokb_only	20	20	0.512477	ok
0.25	20	protein_coding	20	20	0.557996	ok
0.25	30	oncokb_all	30	30	0.498948	ok
0.25	30	oncokb_only	30	30	0.498948	ok
0.25	30	protein_coding	30	30	0.496559	ok
0.25	50	oncokb_all	50	50	0.530654	ok
0.25	50	oncokb_only	50	50	0.530654	ok
0.25	50	protein_coding	50	50	0.456597	ok
0.3	10	oncokb_all	10	10	0.552076	ok
0.3	10	oncokb_only	10	10	0.552076	ok
0.3	10	protein_coding	10	10	0.589806	ok
0.3	20	oncokb_all	20	20	0.492405	ok
0.3	20	oncokb_only	20	20	0.492405	ok
0.3	20	protein_coding	20	20	0.515437	ok
0.3	30	oncokb_all	30	30	0.487393	ok
0.3	30	oncokb_only	30	30	0.487393	ok
0.3	30	protein_coding	30	30	0.488484	ok
0.3	50	oncokb_all	50	50	0.54117	ok
0.3	50	oncokb_only	50	50	0.54117	ok
0.3	50	protein_coding	50	50	0.46379	ok
