	HALLMARK_ADIPOGENESIS	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_APOPTOSIS	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_COAGULATION	HALLMARK_COMPLEMENT	HALLMARK_DNA_REPAIR	HALLMARK_E2F_TARGETS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_G2M_CHECKPOINT	HALLMARK_GLYCOLYSIS	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEME_METABOLISM	HALLMARK_HYPOXIA	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYOGENESIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_P53_PATHWAY	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PEROXISOME	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PROTEIN_SECRETION	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_SPERMATOGENESIS	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_UP	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_XENOBIOTIC_METABOLISM
DOXORUBICIN	-1.8033	-1.7633	-1.7944	-1.7948	-1.9030	-1.3612	-2.3516	-1.3193	-1.8378	-2.6712	-2.4935	1.1960	2.3821	-2.7127	-2.8481	-2.3697	-1.3887	2.2379	-2.2481	1.3488	-1.3151	-2.9053	-2.2462	-2.6147	-2.6206	-3.2349	-3.1562	1.0794	-1.9131	1.2408	-1.2236	2.1058	2.0607	-1.2605	-1.2921	0.6217	-2.1539	1.1763	-1.2005	-1.1354	-2.0959	-2.4161	1.6087	-1.6068	-3.5794	0.9614	-2.0485	0.8810	1.5137	-2.3995
ETOPOSIDE	-1.5869	-1.3965	-1.6348	-2.1663	-2.0163	-1.5289	-2.2211	-1.2744	-1.7427	-2.9815	-2.2625	1.4299	2.4565	-2.9591	-2.8613	-2.2931	-1.2817	2.3414	-2.0532	1.1031	-1.1717	-2.7294	-2.0955	-2.7013	-2.6324	-3.2453	-3.0161	0.7350	-1.7307	1.4823	0.6758	2.1182	1.8893	-1.4755	-1.2611	0.8620	-2.2945	0.9500	-1.1157	0.8377	-1.7096	-2.0789	1.5728	-1.6795	-3.7054	1.0943	-1.8685	0.8184	1.2478	-2.1949
PACLITAXEL	-2.2907	-1.8613	-1.5814	-2.1394	-1.7963	-1.0665	-2.2380	-1.7096	-1.4450	-3.0913	-2.5111	1.3366	3.0534	-3.5295	-2.1199	-1.5776	-1.5251	2.9917	-2.0927	-1.2126	-1.4983	-2.9512	-2.1639	-2.0930	-2.2226	-2.3922	-2.4002	1.1040	-1.9063	1.6889	-1.2794	2.5394	2.4036	-2.2506	-1.2357	-1.5070	-1.8732	1.3657	-1.4467	-1.0534	-2.4740	-2.1533	1.6688	-1.6470	-2.9705	1.0823	-2.2961	1.0676	1.3871	-2.2239
CARBOPLATIN	-1.4471	-1.6615	-1.1159	-1.4584	-1.5401	-0.9736	-1.9358	0.7834	-1.4165	-1.7844	-1.7620	0.8512	1.8968	-3.0936	-1.4155	-1.2800	-0.8951	1.7778	-1.7841	1.3135	-0.9693	-2.4248	-1.9558	-1.9131	-2.2387	-3.2077	-2.9988	1.2336	0.7700	1.2961	-1.3948	1.5731	1.5493	-1.9241	-1.0217	-1.3530	-2.1220	1.4553	0.9566	-0.9173	-1.2985	-2.2450	1.5287	-1.1699	-3.1258	-1.1179	-1.7473	0.8363	1.4034	-1.7307
CYCLOPHOSPHAMIDE	-1.5989	1.4957	0.7727	0.9451	1.3325	1.1443	1.2142	-1.3812	-1.0072	1.4898	1.6987	-2.3241	-3.4379	2.2723	1.1241	0.8529	-1.0412	-2.8383	1.0304	0.8045	0.8501	0.8716	1.4578	1.3893	1.4825	2.0724	1.7892	0.8773	1.1072	-1.1940	-1.3590	-2.3989	-1.4703	1.5188	1.3401	-1.7794	0.6229	-1.6057	-1.3733	-0.8579	1.3851	0.6480	-1.5532	1.2630	1.9171	-0.7658	1.7869	1.3207	1.1880	-0.8586
FLUOROURACIL	-1.5129	-1.4306	-1.6229	-1.6398	-1.7642	-1.2461	-1.6461	-0.9382	-1.0811	-1.9806	-1.8085	-1.1625	1.2120	-2.8461	-1.2321	1.3470	-0.9929	1.0738	-1.7450	-1.3214	-1.4819	-2.2920	-1.6482	-1.6854	-1.4797	-1.1512	-1.5037	1.3252	-1.3508	-1.6477	-1.5637	1.8943	2.7401	-1.9126	-1.2823	-0.8368	-0.9254	0.8978	-0.9159	-1.4892	-2.2528	-1.7326	-0.6865	-1.9717	-2.0922	-1.2810	-2.2168	-1.1478	1.2526	-1.1377
TOP2_consensus	-1.7066	-1.5782	-1.7809	-2.0229	-1.9467	-1.5452	-2.3073	-1.3405	-1.8567	-2.7561	-2.4044	1.3451	2.4464	-2.8401	-2.8605	-2.3189	-1.3417	2.2740	-2.1124	1.1847	-1.3307	-2.7672	-2.2120	-2.6619	-2.6446	-3.2776	-3.1420	0.9502	-1.8212	1.3676	-1.0285	2.1256	2.0523	-1.4050	-1.2220	0.7403	-2.2498	1.0566	-1.1710	-0.8876	-1.8634	-2.3011	1.6028	-1.5167	-3.5573	1.1189	-1.8699	0.8325	1.3119	-2.2454
TRAMETINIB	-0.6488	2.3773	-0.8985	1.3981	-0.8990	1.3575	1.9138	-0.8143	1.2780	2.7570	2.2955	-1.4296	-2.5164	-1.0626	1.2657	1.2686	0.8283	-2.3522	-0.7586	0.9069	-1.0005	1.1335	2.4809	1.7437	2.2971	2.8642	2.5937	-0.8192	2.6028	-1.7335	-0.9153	-1.7273	-0.3968	-0.8661	1.3896	-1.0633	1.8674	-1.1405	-0.8469	-1.0481	-1.2159	0.8444	-1.1644	1.1202	2.9235	-1.3122	-1.5638	-0.8506	1.0343	1.1928
GEFITINIB	-0.9669	1.4874	-0.7232	-0.9328	1.5091	1.7331	1.3367	0.7452	1.3231	1.4696	1.5184	-1.8667	-2.2518	-1.8570	2.6894	2.7080	-0.7659	-2.1979	-1.0472	-1.0482	-1.0681	-0.9482	1.2288	1.4881	2.1137	2.9240	2.7714	2.0807	1.6886	-1.7648	-1.1482	-2.1897	-1.2025	-0.7577	1.2935	-1.8374	2.3453	-0.8188	-0.7801	-1.1178	-1.5274	-1.3992	-1.5130	-1.0936	2.1660	-1.7587	-1.5808	-0.9027	-0.8854	1.3234
LAPATINIB	-1.1838	-0.6843	-1.1837	-1.3478	-1.2409	1.2577	-0.9888	0.9092	1.2103	-0.9856	-1.1241	-1.8160	-2.1349	-2.5220	2.4975	2.6727	-0.9232	-2.0227	-1.4162	-1.2505	-1.1686	-1.5125	-0.9609	-0.6990	1.1847	1.8830	1.5885	2.2562	1.1259	-1.9306	-1.5081	-2.0856	-1.3207	-1.0700	1.1589	-1.8280	1.9172	-0.9832	-0.7538	-1.2735	-1.8261	-1.4561	-1.0279	-1.4695	0.9816	-1.9711	-1.9112	-0.8838	0.8375	1.2146
