sample_id	sig_Mammaprint
MB-0362	0.050601
MB-0346	0.072001
MB-0386	-0.011249
MB-0574	0.042439
MB-0185	0.255664
MB-0503	-0.047697
MB-0641	-0.089094
MB-0201	0.134400
MB-0218	-0.108749
MB-0316	-0.131965
MB-0189	0.033092
MB-0891	0.049051
MB-0658	-0.043004
MB-0899	0.048581
MB-0605	-0.049543
MB-0258	0.028738
MB-0506	-0.061847
MB-0420	0.070959
MB-0223	-0.101180
MB-0445	0.062307
MB-0199	-0.068353
MB-0517	0.045166
MB-0155	-0.103330
MB-0428	0.033486
MB-0117	-0.122397
MB-0906	-0.094502
MB-0249	-0.056741
MB-0660	0.090222
MB-0497	-0.020733
MB-0434	0.138635
MB-0143	0.041770
MB-0513	-0.068959
MB-0541	-0.023132
MB-0653	0.150127
MB-0455	0.001598
MB-0540	-0.278461
MB-0384	-0.000328
MB-0637	0.056621
MB-0157	-0.025717
MB-0443	-0.000345
MB-0584	0.127071
MB-0292	0.146418
MB-0322	-0.113162
MB-0501	-0.148768
MB-0401	-0.020931
MB-0140	-0.123964
MB-0606	-0.114812
MB-0666	0.036770
MB-0598	0.117863
MB-0453	-0.042719
MB-0138	0.007508
MB-0579	0.114495
MB-0405	-0.067786
MB-0471	-0.085706
MB-0347	0.080628
MB-0619	-0.023539
MB-0171	-0.120631
MB-0310	0.008971
MB-0621	-0.055093
MB-0614	0.069759
MB-0372	-0.008534
MB-0374	0.060484
MB-0382	-0.018508
MB-0327	-0.053336
MB-0066	-0.033577
MB-0144	0.010766
MB-0596	0.016927
MB-0164	0.046018
MB-0215	0.063098
MB-0146	-0.051570
MB-0229	0.003653
MB-0505	-0.031972
MB-0102	0.152389
MB-0569	0.044167
MB-0516	0.021951
MB-0272	0.031827
MB-0585	-0.019177
MB-0494	0.071339
MB-0306	0.087724
MB-0463	0.062865
MB-0198	0.239625
MB-0203	0.006725
MB-0607	0.009470
MB-0631	-0.050280
MB-0363	0.082141
MB-0427	-0.059866
MB-0519	-0.070309
MB-0371	0.044111
MB-0380	-0.028195
MB-0221	0.140520
MB-0348	-0.067311
MB-0261	-0.001925
MB-0576	0.131967
MB-0385	0.016938
MB-0659	-0.076358
MB-0270	0.101003
MB-0379	-0.001799
MB-0432	-0.200380
MB-0527	-0.225902
MB-0624	-0.179316
MB-0273	0.001098
MB-0050	-0.019877
MB-0460	-0.169104
MB-0654	0.018298
MB-0454	-0.080673
MB-0392	0.114928
MB-0336	0.020403
MB-0467	0.248717
MB-0349	-0.121634
MB-0378	0.104971
MB-0176	0.084309
MB-0429	0.063427
MB-0397	-0.006944
MB-0571	0.111418
MB-0426	0.028707
MB-0135	-0.021366
MB-0112	-0.089974
MB-0352	-0.076239
MB-0644	0.063204
MB-0601	0.015856
MB-0568	-0.022461
MB-0328	0.146761
MB-0325	0.188969
MB-0358	0.146464
MB-0413	0.128744
MB-0158	0.013623
MB-0636	0.173098
MB-0145	0.003105
MB-0195	-0.010999
MB-0422	0.017123
MB-0483	-0.040579
MB-0317	-0.173063
MB-0486	-0.017393
MB-0139	-0.064955
MB-0257	0.103763
MB-0345	-0.003123
MB-0375	0.055999
MB-0419	0.062334
MB-0480	0.002829
MB-0311	0.131336
MB-0324	0.079895
MB-0368	0.074617
MB-0389	-0.028225
MB-0248	-0.031859
MB-0035	-0.007599
MB-0667	0.206262
MB-0423	0.040952
MB-0904	0.013652
MB-0119	0.059143
MB-0650	-0.056376
MB-0204	-0.045464
MB-0184	-0.099579
MB-0600	0.103778
MB-0400	0.030645
MB-0511	0.109177
MB-0059	0.028304
MB-0500	0.072439
MB-0150	-0.000676
MB-0895	-0.070983
MB-0366	-0.047102
MB-0173	-0.067712
MB-0131	0.137557
MB-0206	-0.019740
MB-0315	0.017280
MB-0361	0.080456
MB-0545	-0.014772
MB-0370	-0.039165
MB-0642	-0.017764
MB-0431	0.039235
MB-0181	0.068739
MB-0603	0.013004
MB-0295	0.035279
MB-0618	-0.025843
MB-0496	-0.071332
MB-0411	0.064894
MB-0285	-0.086906
MB-0360	0.099832
MB-0359	-0.082483
MB-0344	-0.103979
MB-0583	-0.086364
MB-0202	0.019214
MB-0485	0.026103
MB-0609	0.025060
MB-0538	-0.018250
MB-0197	0.052830
MB-0410	0.026061
MB-0528	-0.015515
MB-0165	-0.065656
MB-0152	-0.026498
MB-0546	-0.013966
MB-0148	0.092720
MB-0594	-0.183897
MB-0521	-0.000141
MB-0532	0.238273
MB-0536	0.045199
MB-0319	0.109406
MB-0491	0.108777
MB-0404	-0.005216
MB-0243	-0.080401
MB-0580	0.063973
MB-0312	-0.026877
MB-0060	0.134446
MB-0635	-0.202757
MB-0649	0.001953
MB-0643	0.009769
MB-0581	-0.084181
MB-0383	-0.013693
MB-0142	-0.236575
MB-0320	-0.060841
MB-0207	0.029881
MB-0167	0.135084
MB-0591	0.067220
MB-0613	-0.096392
MB-0313	0.096992
MB-0599	-0.108066
MB-0286	-0.029697
MB-0575	-0.001732
MB-0549	-0.079114
MB-0214	-0.006857
MB-0589	-0.017474
MB-0406	0.073799
MB-0452	0.127749
MB-0524	-0.075815
MB-0880	-0.155654
MB-0573	-0.069308
MB-0664	-0.059712
MB-0446	-0.041806
MB-0008	0.090848
MB-0656	0.052154
MB-0154	-0.136957
MB-0597	-0.001714
MB-0550	0.003759
MB-0616	-0.033934
MB-0448	-0.165863
MB-0412	0.106707
MB-0122	-0.009612
MB-0425	-0.032857
MB-0314	0.038700
MB-0356	0.024101
MB-0440	-0.022220
MB-0398	0.051441
MB-0438	0.007078
MB-0449	-0.030711
MB-0162	-0.039866
MB-0593	0.083398
MB-0301	0.019597
MB-0628	-0.039306
MB-0283	0.053270
MB-0106	0.002477
MB-0341	0.103531
MB-0474	-0.066795
MB-0394	-0.058441
MB-0373	-0.086017
MB-0247	0.069412
MB-0225	-0.208815
MB-0424	-0.249482
MB-0209	-0.099402
MB-0115	0.054362
MB-0136	0.037982
MB-0542	-0.107206
MB-0354	-0.057928
MB-0151	-0.031225
MB-0590	0.094646
MB-0608	-0.159557
MB-0657	-0.003299
MB-0559	-0.017138
MB-0893	-0.185344
MB-0514	0.075630
MB-0395	-0.150725
MB-0294	-0.168408
MB-0439	0.004189
MB-0481	-0.070721
MB-0529	-0.019996
MB-0224	0.103668
MB-0302	0.021831
MB-0126	-0.002118
MB-0220	-0.152240
MB-0192	0.019625
MB-0121	-0.103635
MB-0239	-0.029438
MB-0364	-0.142702
MB-0232	-0.003123
MB-0884	0.149565
MB-0238	0.010510
MB-0194	-0.053438
MB-0882	0.061597
MB-0010	0.000180
MB-0236	-0.006890
MB-0377	0.024838
MB-0123	0.112917
MB-0504	0.046958
MB-0564	-0.018685
MB-0475	-0.005840
MB-0321	0.084550
MB-0482	0.016727
MB-0101	-0.155375
MB-0662	0.073561
MB-0291	0.136214
MB-0465	0.120348
MB-0630	-0.076189
MB-0036	-0.052005
MB-0166	-0.047734
MB-0180	0.025775
MB-0525	0.005825
MB-0307	-0.223721
MB-0002	0.072047
MB-0408	0.079479
MB-0466	0.049266
MB-0632	-0.019991
MB-0120	0.106493
MB-0507	-0.072794
MB-0287	-0.046635
MB-0869	-0.036486
MB-4633	-0.042680
MB-4627	-0.002286
MB-4004	-0.061043
MB-4708	-0.051337
MB-4618	-0.018618
MB-4641	0.003866
MB-4622	-0.102274
MB-4634	0.111368
MB-4688	0.134795
MB-4665	-0.048011
MB-4666	-0.024771
MB-4640	-0.004560
MB-4691	0.020802
MB-4671	-0.045270
MB-4667	-0.027597
MB-4721	0.003632
MB-4723	-0.079773
MB-4718	0.002306
MB-4716	-0.038162
MB-4729	0.229772
MB-4717	0.045501
MB-4724	0.111748
MB-4770	0.102616
MB-4752	-0.149797
MB-4762	0.085349
MB-5169	0.091204
MB-4796	0.059730
MB-4790	-0.035307
MB-4797	0.176798
MB-4800	0.082387
MB-5541	0.014701
MB-5549	0.087033
MB-5519	0.073701
MB-5495	0.141970
MB-4832	0.047779
MB-4745	-0.027607
MB-4825	-0.082181
MB-4814	0.049743
MB-4757	0.074956
MB-4694	0.189428
MB-4698	0.040996
MB-4715	-0.115955
MB-4685	-0.054198
MB-4712	0.060445
MB-4672	0.065175
MB-4704	0.000445
MB-4655	0.109490
MB-4651	0.234565
MB-4661	0.026901
MB-4649	0.042250
MB-4642	0.077792
MB-4674	-0.237127
MB-4648	-0.058631
MB-5197	0.027414
MB-5152	-0.033639
MB-5201	-0.039193
MB-5189	-0.118211
MB-5281	-0.088915
MB-5212	0.067427
MB-5172	-0.048035
MB-5183	-0.144871
MB-5185	0.068568
MB-5022	0.080227
MB-5014	-0.070782
MB-4994	0.059245
MB-5017	-0.006383
MB-4982	0.054272
MB-5004	-0.026948
MB-4986	0.021738
MB-5327	-0.012551
MB-5341	-0.037683
MB-5323	-0.095886
MB-5328	-0.063813
MB-5318	0.027381
MB-5287	-0.027077
MB-5324	-0.036554
MB-4682	-0.066979
MB-4710	-0.027294
MB-4701	0.027845
MB-4709	0.094711
MB-4686	0.018388
MB-4706	0.007762
MB-4719	-0.041303
MB-4702	0.114440
MB-4908	-0.001897
MB-4871	0.117870
MB-4906	-0.062841
MB-4911	0.048510
MB-4866	-0.078315
MB-4858	0.011982
MB-4862	0.192542
MB-4872	-0.069377
MB-4887	0.074246
MB-4867	-0.025300
MB-4888	-0.019799
MB-4929	0.074183
MB-4945	0.054660
MB-4930	0.202559
MB-4894	0.221723
MB-4898	-0.164828
MB-4670	-0.038457
MB-5013	-0.120320
MB-4977	-0.070711
MB-4967	0.032123
MB-4981	-0.104332
MB-4003	0.124882
MB-4968	0.004740
MB-5052	0.043759
MB-5049	0.019383
MB-5041	0.039129
MB-5044	-0.063103
MB-5072	-0.022960
MB-4171	-0.023881
MB-5053	-0.052486
MB-5045	-0.000956
MB-5116	0.050517
MB-5120	0.033488
MB-5074	0.100804
MB-5119	0.031795
MB-5114	0.043093
MB-4230	0.006013
MB-4154	-0.150850
MB-5115	0.118778
MB-4737	0.070180
MB-4764	0.058661
MB-4735	-0.075626
MB-4730	-0.055338
MB-4733	-0.034748
MB-4758	-0.024342
MB-5033	-0.128108
MB-4741	0.033125
MB-4732	0.000892
MB-5305	0.113674
MB-5256	0.013451
MB-5273	0.065231
MB-5236	0.020496
MB-5238	-0.010330
MB-5233	0.016212
